entry_ts,exit_ts,side,entry,stop,exit_price,exit_reason,p_long,p_short,p_big,gross_ret,net_ret,week_start
2024-01-15 14:55:00+00:00,2024-01-15 17:55:00+00:00,long,1.09434,1.093723670738778,1.09482,time,0.9407007694244385,0.010807416401803493,0.9407007694244385,0.00043862053840659776,0.00033862053840659777,2024-01-15 00:00:00+00:00
2024-01-17 13:15:00+00:00,2024-01-17 13:25:00+00:00,long,1.087295,1.0865560825984186,1.0865560825984186,stop,0.8992358446121216,0.016793785616755486,0.8992358446121216,-0.0006795923843863072,-0.0007795923843863072,2024-01-15 00:00:00+00:00
2024-01-19 10:05:00+00:00,2024-01-19 13:05:00+00:00,long,1.087835,1.0870238796920684,1.0886900000000002,time,0.8706302046775818,0.01873672567307949,0.8706302046775818,0.0007859647832622052,0.0006859647832622052,2024-01-15 00:00:00+00:00
2024-01-19 14:35:00+00:00,2024-01-19 17:35:00+00:00,long,1.086825,1.0857716044314314,1.089,time,0.611120343208313,0.029053332284092903,0.611120343208313,0.0020012421503001754,0.0019012421503001753,2024-01-15 00:00:00+00:00
2024-01-25 13:30:00+00:00,2024-01-25 15:10:00+00:00,short,1.08939,1.0910148388387655,1.0845891716662093,target,0.035168081521987915,0.7876690626144409,0.7876690626144409,0.004406895908527497,0.004306895908527497,2024-01-22 00:00:00+00:00
2024-02-01 08:05:00+00:00,2024-02-01 11:05:00+00:00,long,1.078325,1.0772730278035403,1.07945,time,0.9675699472427368,0.008981115184724331,0.9675699472427368,0.0010432847239931764,0.0009432847239931764,2024-01-29 00:00:00+00:00
2024-02-01 12:25:00+00:00,2024-02-01 15:25:00+00:00,long,1.081445,1.0802910477590573,1.0831499999999998,time,0.8901660442352295,0.032052647322416306,0.8901660442352295,0.0015765942789507381,0.001476594278950738,2024-01-29 00:00:00+00:00
2024-02-05 08:15:00+00:00,2024-02-05 08:40:00+00:00,long,1.07781,1.0767953016088847,1.0767953016088847,stop,0.8128018975257874,0.005411363672465086,0.8128018975257874,-0.0009414445877429234,-0.0010414445877429234,2024-02-05 00:00:00+00:00
2024-02-05 11:55:00+00:00,2024-02-05 13:00:00+00:00,long,1.075495,1.0746810824056685,1.0746810824056685,stop,0.7301379442214966,0.018986085429787636,0.7301379442214966,-0.0007567841731775937,-0.0008567841731775938,2024-02-05 00:00:00+00:00
2024-02-07 16:00:00+00:00,2024-02-07 19:00:00+00:00,short,1.0761850000000002,1.0775767963122789,1.07711,time,0.02849576808512211,0.5090939998626709,0.5090939998626709,-0.0008595176479879729,-0.000959517647987973,2024-02-05 00:00:00+00:00
2024-02-13 12:00:00+00:00,2024-02-13 12:30:00+00:00,short,1.0777100000000002,1.0783350920493449,1.0783350920493449,stop,0.010049652308225632,0.79973304271698,0.79973304271698,-0.0005800187892333053,-0.0006800187892333053,2024-02-12 00:00:00+00:00
2024-02-23 12:25:00+00:00,2024-02-23 15:25:00+00:00,short,1.08339,1.0841388101273377,1.081985,time,1.1524952242325526e-05,0.9998134970664978,0.9998134970664978,0.0012968552414182044,0.0011968552414182044,2024-02-19 00:00:00+00:00
2024-02-29 10:15:00+00:00,2024-02-29 11:35:00+00:00,short,1.0852849999999998,1.0862429924406982,1.0833690151186028,target,0.020810043439269066,0.9281243681907654,0.9281243681907654,0.0017654209552301348,0.0016654209552301347,2024-02-26 00:00:00+00:00
2024-02-29 14:10:00+00:00,2024-02-29 16:15:00+00:00,short,1.0846,1.0863521435613432,1.0810957128773135,target,0.02703232131898403,0.7567843794822693,0.7567843794822693,0.003230948849978321,0.0031309488499783214,2024-02-26 00:00:00+00:00
2024-03-06 15:50:00+00:00,2024-03-06 16:50:00+00:00,short,1.090555,1.0912512110126886,1.0912512110126886,stop,0.00395407248288393,0.9464426636695862,0.9464426636695862,-0.0006384006425064204,-0.0007384006425064204,2024-03-04 00:00:00+00:00
2024-03-08 14:00:00+00:00,2024-03-08 17:00:00+00:00,short,1.096475,1.0979517593136068,1.09451,time,0.0026772685814648867,0.8571534156799316,0.8571534156799316,0.0017921065231765176,0.0016921065231765176,2024-03-04 00:00:00+00:00
2024-03-15 13:45:00+00:00,2024-03-15 16:45:00+00:00,long,1.088485,1.087441937346988,1.088855,time,0.9912266135215759,0.003476126119494438,0.9912266135215759,0.00033992200168131426,0.00023992200168131427,2024-03-11 00:00:00+00:00
2024-03-21 13:25:00+00:00,2024-03-21 14:00:00+00:00,long,1.0895549999999998,1.0883377712791107,1.0883377712791107,stop,0.9996581077575684,4.131942841922864e-05,0.9996581077575684,-0.0011171796934428269,-0.001217179693442827,2024-03-18 00:00:00+00:00
2024-03-21 14:50:00+00:00,2024-03-21 15:15:00+00:00,long,1.0879150000000002,1.0865780952764859,1.0865780952764859,stop,0.9987308382987976,0.00042795672197826207,0.9987308382987976,-0.0012288687291878153,-0.0013288687291878154,2024-03-18 00:00:00+00:00
2024-03-21 15:30:00+00:00,2024-03-21 18:30:00+00:00,long,1.086595,1.0853788439037206,1.08605,time,0.9924910664558411,0.0007065552053973079,0.9924910664558411,-0.0005015668211246771,-0.0006015668211246771,2024-03-18 00:00:00+00:00
2024-03-22 14:10:00+00:00,2024-03-22 15:55:00+00:00,long,1.0822699999999998,1.081142719156109,1.081142719156109,stop,0.7691704034805298,6.836713873781264e-05,0.7691704034805298,-0.0010415892927743142,-0.0011415892927743143,2024-03-18 00:00:00+00:00
2024-03-26 07:25:00+00:00,2024-03-26 09:20:00+00:00,short,1.08475,1.0852070129389801,1.0852070129389801,stop,0.016021639108657837,0.9546415209770203,0.9546415209770203,-0.00042130715739108204,-0.0005213071573910821,2024-03-25 00:00:00+00:00
2024-03-26 14:40:00+00:00,2024-03-26 17:40:00+00:00,short,1.084295,1.0852020520788526,1.0833149999999998,time,0.06957540661096573,0.8777293562889099,0.8777293562889099,0.0009038130766998442,0.0008038130766998442,2024-03-25 00:00:00+00:00
2024-03-27 06:20:00+00:00,2024-03-27 06:45:00+00:00,short,1.0825550000000002,1.0829537924338368,1.0829537924338368,stop,0.029591340571641922,0.6970844268798828,0.6970844268798828,-0.000368380760179976,-0.000468380760179976,2024-03-25 00:00:00+00:00
2024-03-28 05:50:00+00:00,2024-03-28 06:45:00+00:00,short,1.08252,1.082832149412764,1.0817441208096588,target,0.030832955613732338,0.6322898864746094,0.6322898864746094,0.0007167342777418817,0.0006167342777418817,2024-03-25 00:00:00+00:00
2024-03-31 22:40:00+00:00,2024-03-31 23:55:00+00:00,long,1.07887,1.0782727696910428,1.07932,time,0.5954091548919678,0.019877804443240166,0.5954091548919678,0.00041710308007458785,0.00031710308007458786,2024-03-25 00:00:00+00:00
2024-04-05 06:50:00+00:00,2024-04-05 07:25:00+00:00,short,1.0832000000000002,1.0835943417658491,1.0835943417658491,stop,0.00010879759793169796,0.9969235062599182,0.9969235062599182,-0.00036405259033323034,-0.00046405259033323033,2024-04-01 00:00:00+00:00
2024-04-05 09:25:00+00:00,2024-04-05 12:25:00+00:00,short,1.084105,1.084575036354063,1.084575036354063,stop,0.00040154054295271635,0.9918809533119202,0.9918809533119202,-0.00043357087557271967,-0.0005335708755727197,2024-04-01 00:00:00+00:00
2024-04-10 14:20:00+00:00,2024-04-10 14:40:00+00:00,long,1.076655,1.075432519528286,1.075432519528286,stop,0.9386257529258728,0.005581911187618971,0.9386257529258728,-0.0011354430822445583,-0.0012354430822445583,2024-04-08 00:00:00+00:00
2024-04-10 14:45:00+00:00,2024-04-10 15:20:00+00:00,long,1.07558,1.0744640106862062,1.0744640106862062,stop,0.8527404069900513,0.006936847232282162,0.8527404069900513,-0.0010375697891311653,-0.0011375697891311653,2024-04-08 00:00:00+00:00
2024-04-11 12:45:00+00:00,2024-04-11 14:15:00+00:00,long,1.073685,1.072380424527448,1.072380424527448,stop,0.8205702304840088,0.009970593266189098,0.8205702304840088,-0.0012150448898439192,-0.0013150448898439193,2024-04-08 00:00:00+00:00
2024-04-12 13:45:00+00:00,2024-04-12 14:05:00+00:00,long,1.064055,1.0632794626898878,1.0632794626898878,stop,0.6749698519706726,0.006446334067732096,0.6749698519706726,-0.0007288507737965855,-0.0008288507737965855,2024-04-08 00:00:00+00:00
2024-04-12 14:10:00+00:00,2024-04-12 17:10:00+00:00,long,1.06304,1.0621251504291958,1.0644900000000002,time,0.4761551022529602,0.0060338666662573814,0.4761551022529602,0.0013640126429863564,0.0012640126429863563,2024-04-08 00:00:00+00:00
2024-04-16 06:40:00+00:00,2024-04-16 07:00:00+00:00,short,1.06088,1.0615587533510813,1.0615587533510813,stop,0.023005535826086998,0.8472551703453064,0.8472551703453064,-0.0006398021935385412,-0.0007398021935385412,2024-04-15 00:00:00+00:00
2024-04-19 02:40:00+00:00,2024-04-19 03:10:00+00:00,short,1.06189,1.0629125755278588,1.0629125755278588,stop,0.02668706886470318,0.8423702120780945,0.8423702120780945,-0.0009629768882453149,-0.001062976888245315,2024-04-15 00:00:00+00:00
2024-04-19 11:05:00+00:00,2024-04-19 11:45:00+00:00,short,1.0648149999999998,1.065406561509064,1.065406561509064,stop,0.032420989125967026,0.8274793028831482,0.8274793028831482,-0.0005555533205900964,-0.0006555533205900965,2024-04-15 00:00:00+00:00
2024-04-19 12:00:00+00:00,2024-04-19 12:20:00+00:00,short,1.0653899999999998,1.0661064174001926,1.0661064174001926,stop,0.028153851628303528,0.7172501683235168,0.7172501683235168,-0.0006724461466625087,-0.0007724461466625087,2024-04-15 00:00:00+00:00
2024-04-25 14:30:00+00:00,2024-04-25 16:40:00+00:00,short,1.071535,1.0729089894216906,1.0729089894216906,stop,3.141093111480586e-05,0.9975312948226929,0.9975312948226929,-0.0012822627554776034,-0.0013822627554776034,2024-04-22 00:00:00+00:00
2024-04-26 12:35:00+00:00,2024-04-26 14:30:00+00:00,short,1.0730149999999998,1.0741838528387706,1.069098681676925,target,0.000425246253143996,0.9761859774589539,0.9761859774589539,0.0036498262587892905,0.0035498262587892906,2024-04-22 00:00:00+00:00
2024-04-26 15:30:00+00:00,2024-04-26 16:20:00+00:00,short,1.068215,1.069112463464689,1.069112463464689,stop,0.004165764432400465,0.8604875206947327,0.8604875206947327,-0.0008401524643344427,-0.0009401524643344427,2024-04-22 00:00:00+00:00
2024-05-03 11:00:00+00:00,2024-05-03 12:20:00+00:00,short,1.0745049999999998,1.0750319174628684,1.0750319174628684,stop,3.229363574064337e-05,0.9977144002914429,0.9977144002914429,-0.0004903815830252789,-0.0005903815830252789,2024-04-29 00:00:00+00:00
2024-05-03 12:55:00+00:00,2024-05-03 15:55:00+00:00,short,1.07938,1.0818992786078736,1.076915,time,0.00029918100335635245,0.9492012858390808,0.9492012858390808,0.0022837184309510983,0.0021837184309510984,2024-04-29 00:00:00+00:00
2024-05-09 13:40:00+00:00,2024-05-09 14:30:00+00:00,short,1.076405,1.0777281804994137,1.0777281804994137,stop,0.0009090892854146659,0.9894108176231384,0.9894108176231384,-0.001229258967966107,-0.001329258967966107,2024-05-06 00:00:00+00:00
2024-05-10 12:00:00+00:00,2024-05-10 13:45:00+00:00,short,1.0779999999999998,1.0787035814942911,1.0787035814942911,stop,0.003463238477706909,0.9234686493873596,0.9234686493873596,-0.0006526730002702763,-0.0007526730002702763,2024-05-06 00:00:00+00:00
2024-05-10 13:55:00+00:00,2024-05-10 14:20:00+00:00,short,1.07874,1.0797522360335465,1.0767155279329068,target,0.030630605295300484,0.6207180619239807,0.6207180619239807,0.0018767006573346956,0.0017767006573346956,2024-05-06 00:00:00+00:00
