week_start,status,move_threshold,prob_threshold,sl_atr,tp_atr,rr,n_trades_week
2024-01-15 00:00:00+00:00,ok,0.002456257491259828,0.586140394234507,1.9816685266872864,6.0,3.0277515735828158,4
2024-01-22 00:00:00+00:00,ok,0.00227105370911847,0.4398532019712619,2.0306981118182517,6.0,2.954648928404602,1
2024-01-29 00:00:00+00:00,ok,0.002304478124679693,0.7137788066524076,2.3933741872151852,6.0,2.5069209954916425,2
2024-02-05 00:00:00+00:00,ok,0.002645917927226771,0.4398532019712619,2.2027235900350006,6.0,2.7239005507277185,3
2024-02-12 00:00:00+00:00,ok,0.0022575858880090395,0.620501755284444,2.0035117974817824,6.0,2.9947415371042068,1
2024-02-19 00:00:00+00:00,ok,0.001868851095297164,0.620501755284444,2.3521808635877424,6.0,2.5508242554298093,1
2024-02-26 00:00:00+00:00,ok,0.0019083298264899295,0.586140394234507,3.0,6.0,1.9999999999993332,2
2024-03-04 00:00:00+00:00,ok,0.0018536017971741983,0.4398532019712619,1.3728592518468177,6.0,4.370440736677283,2
2024-03-11 00:00:00+00:00,ok,0.0018320920251749804,0.4398532019712619,2.818751361277411,6.0,2.128602076232354,1
2024-03-18 00:00:00+00:00,ok,0.0016583750489954083,0.620501755284444,3.0,6.0,1.9999999999993332,4
2024-03-25 00:00:00+00:00,ok,0.0018659898645592649,0.586140394234507,2.41390218979846,6.0,2.4856019541116794,5
2024-04-01 00:00:00+00:00,ok,0.0018597954834244869,0.620501755284444,1.6670966846349753,6.0,3.599071400774905,2
2024-04-08 00:00:00+00:00,ok,0.001769063935322912,0.4398532019712619,1.435625344388947,6.0,4.179363385751338,5
2024-04-15 00:00:00+00:00,ok,0.00228292674534209,0.586140394234507,1.8869752948334217,6.0,3.179691867945991,4
2024-04-22 00:00:00+00:00,ok,0.002446765322715289,0.620501755284444,1.790742338615239,6.0,3.3505657796846315,3
2024-04-29 00:00:00+00:00,ok,0.002401064174455757,0.620501755284444,2.2205065404969644,6.0,2.7020861639319724,2
2024-05-06 00:00:00+00:00,ok,0.0025346280289608157,0.620501755284444,3.0,6.0,1.9999999999993332,3
2024-05-13 00:00:00+00:00,ok,0.002074151586062733,0.7137788066524076,2.015637360012871,6.0,2.976725932465704,1
2024-05-20 00:00:00+00:00,ok,0.0015497203675357229,0.7137788066524076,3.0,6.0,1.9999999999993332,4
2024-05-27 00:00:00+00:00,ok,0.0016824437086794264,0.586140394234507,2.4763033409307567,6.0,2.4229664842847503,2
2024-06-03 00:00:00+00:00,ok,0.0018098852867620976,0.4398532019712619,3.0,6.0,1.9999999999993332,1
2024-06-10 00:00:00+00:00,ok,0.0020312593348317254,0.620501755284444,1.932101926974065,6.0,3.105426228415243,3
2024-06-17 00:00:00+00:00,ok,0.0024917416221012013,0.620501755284444,1.5946699266842241,6.0,3.7625341141736817,2
2024-06-24 00:00:00+00:00,ok,0.0022287187698437844,0.586140394234507,1.482163648794849,6.0,4.048135983414899,4
