,equity
2024-05-23 10:25:00+00:00,1.0008766165948269
2024-05-23 12:55:00+00:00,0.9996977445174949
2024-05-23 13:35:00+00:00,1.002056353100818
2024-05-24 06:35:00+00:00,1.0018638357982146
2024-05-24 06:55:00+00:00,1.0038239705446912
2024-05-24 17:05:00+00:00,1.004017355282956
2024-05-27 07:35:00+00:00,1.0039387003153424
2024-05-27 09:55:00+00:00,1.0048122372504678
2024-05-28 07:35:00+00:00,1.0043399805807134
2024-05-28 08:45:00+00:00,1.0053192035061205
2024-05-28 14:35:00+00:00,1.0041895764422424
2024-05-28 15:20:00+00:00,1.0025195166588539
2024-05-29 06:10:00+00:00,1.002684495627071
2024-05-29 06:30:00+00:00,1.0014309910990553
2024-05-29 17:00:00+00:00,1.0017270302802315
2024-05-30 07:10:00+00:00,1.0024848829002977
2024-05-31 09:00:00+00:00,1.0031005008985294
2024-05-31 09:45:00+00:00,1.005655045008337
2024-05-31 15:20:00+00:00,1.0059203129936127
2024-05-31 15:30:00+00:00,1.0060629009226647
2024-06-03 06:20:00+00:00,1.005630238236564
2024-06-03 06:35:00+00:00,1.005172575279588
2024-06-04 12:50:00+00:00,1.0033888336321457
2024-06-05 07:25:00+00:00,1.0023008855852265
2024-06-05 14:40:00+00:00,1.0029946190649615
2024-06-05 15:05:00+00:00,1.0049664582052766
2024-06-06 08:15:00+00:00,1.0041758388889201
2024-06-06 08:50:00+00:00,1.0032994892412028
2024-06-06 12:15:00+00:00,1.0020821083519136
2024-06-07 10:00:00+00:00,1.0012864592148631
2024-06-07 13:10:00+00:00,1.0014678107403892
2024-06-10 06:20:00+00:00,1.0014841435836226
2024-06-10 06:40:00+00:00,1.0026431670379192
2024-06-10 11:40:00+00:00,1.0034482748187592
2024-06-10 12:35:00+00:00,1.0028927311569833
2024-06-10 16:30:00+00:00,1.0023613468720527
2024-06-11 06:00:00+00:00,1.002267207135939
2024-06-11 06:55:00+00:00,1.000439651770592
2024-06-11 11:05:00+00:00,0.9998956954602021
2024-06-11 13:00:00+00:00,1.0016775962270978
2024-06-11 16:25:00+00:00,1.003761166115227
2024-06-12 07:05:00+00:00,1.0038715965843414
2024-06-13 07:10:00+00:00,1.0042912475036723
2024-06-13 08:20:00+00:00,1.0023478637207845
2024-06-13 12:05:00+00:00,1.0047380995975352
2024-06-13 12:30:00+00:00,1.0011396650612643
2024-06-13 17:00:00+00:00,1.001881789698788
2024-06-18 06:15:00+00:00,1.0012709985128054
2024-06-18 06:55:00+00:00,1.00006565001471
2024-06-18 10:05:00+00:00,1.000598987607967
2024-06-18 12:00:00+00:00,0.999956774621658
2024-06-18 12:25:00+00:00,1.002072676134118
2024-06-18 13:55:00+00:00,1.0010643958967451
2024-06-19 06:10:00+00:00,1.0017417884060926
2024-06-20 09:30:00+00:00,1.0010524469542064
2024-06-20 12:00:00+00:00,1.000427215234786
2024-06-21 06:25:00+00:00,1.000898639635383
2024-06-21 07:05:00+00:00,1.001687599653787
2024-06-21 15:00:00+00:00,1.0032008097870453
2024-06-25 06:40:00+00:00,1.0036920077144276
2024-06-25 09:05:00+00:00,1.0045150455170997
2024-06-25 11:45:00+00:00,1.003990021314353
2024-06-27 12:00:00+00:00,1.0045554460714239
2024-06-27 12:30:00+00:00,1.0044021685133249
2024-06-27 12:35:00+00:00,1.0033286571482503
2024-06-27 17:45:00+00:00,1.0036356003215523
2024-06-28 07:00:00+00:00,1.0025532160583486
2024-06-28 08:25:00+00:00,1.0015949716233068
2024-06-28 11:05:00+00:00,1.0009513569283397
2024-06-28 14:05:00+00:00,0.9998596499645878
2024-06-28 15:35:00+00:00,0.9990665406190015
