pair,n_trades,total_return,max_drawdown,win_rate,avg_trade,sharpe
GBPUSD,27,0.0011871267641536676,-0.001848267817955192,0.25925925925925924,4.4274171815316874e-05,0.27709925634657023
XAUUSD,45,-0.00044847097552758175,-0.023887812076055896,0.28888888888888886,-7.082206995182953e-06,-0.01952926848801607
EURUSD,27,-0.021434947926642134,-0.020311557933799452,0.0,-0.0008021036518437755,-9.466753203076802
