kpi,value,comment
n_trades,530.0,Количество учетных проводок
n_symbols,1.0,Количество инструментов
cash_balance,2.6016762951220045,Итоговый денежный результат
market_value,0.0,Рыночная стоимость открытых позиций
equity_estimate,2.6016762951220045,Оценка собственных средств
realized_pnl_total,2.6016762951219867,Реализованный финансовый результат
unrealized_pnl_total,0.0,Нереализованный финансовый результат
reconciliation_mismatches,0.0,Количество расхождений при сверке
