ts,open,high,low,close,ret1,ret3,ret6,atr_rel,body_rel,vol_log1p,footprint_raw,footprint_z,fh,fl,cross_up,cross_dn,in_bull_fvg,in_bear_fvg,fvg_width,htf_ret1,htf_atr_rel,htf_vol_log1p,htf_sweep_long,htf_sweep_short,htf_in_bull_fvg,htf_in_bear_fvg,htf_fvg_width,htf_age_long,htf_age_short,htf_long_bias,htf_short_bias,session_ok,vol_regime_ok,long_setup,short_setup,long_ret,short_ret,long_hold_bars,short_hold_bars,y
2024-01-03 20:00:00+00:00,20.367600000000003,20.394965,20.366035,20.39445,0.001323186448999536,0.00032617545787183566,0.0019774788495741102,0.0019053465801618754,0.6909685928682981,0.7506233111700779,0.018549999731476502,-0.2693628398604602,1,0,0,0,0,0,4.903294768908309e-06,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,0.0,0,1,1,1,False,False,0.0,0.0,1,1,0
2024-01-03 20:15:00+00:00,20.3946,20.4212,20.392965,20.412485,0.0008843092115746742,0.001549735291375809,0.002619706618400164,0.0018342710104564772,0.4776717567029672,0.7083756274406162,0.1032699976785805,0.6129178377864828,0,1,0,0,0,0,0.0003804044436529288,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,1.0,0,1,1,1,False,False,0.0,0.0,1,1,0
2024-01-03 20:30:00+00:00,20.412535,20.41965,20.40845,20.41475,0.00011096150223743884,0.002319872345648788,0.005023950533410204,0.0016626748905551572,0.0652562820574354,0.5624517562009502,0.05816999891249,0.22125087216897135,0,0,0,0,0,0,0.0006605518069042551,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,2.0,0,1,1,1,False,False,0.0,0.0,1,1,0
2024-01-03 20:45:00+00:00,20.415,20.4235,20.407765,20.410215,-0.00022214330324887843,0.0007730044203202446,0.001099432013262902,0.0015440967472594449,-0.15183079093933508,0.6616565061598187,-0.0957299976143985,-1.2228936569556237,1,0,0,0,0,0,0.0006606985766685282,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,3.0,0,1,1,1,False,True,0.0,-0.0006437952760418586,1,16,0
2024-01-03 21:00:00+00:00,20.4112,20.418,20.40385,20.406965,-0.00015923399141071215,-0.0002704227339297427,0.0012788934737915092,0.00143088239954923,-0.14503441024712407,0.1895702205691652,-0.014249999876483298,-0.3761334878287512,0,0,0,0,1,0,0.0006608037990949974,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,4.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-03 21:15:00+00:00,20.406915,20.418415,20.404615,20.414965,0.00039202301763152647,1.0531600925567375e-05,0.002330428378544136,0.0013297420841600635,0.29653764005417094,0.20711985333912017,-0.007549999441835001,-0.2363889176290497,1,0,0,0,0,0,0.0006605448503094982,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,5.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-03 21:30:00+00:00,20.415515,20.416415,20.407115,20.41195,-0.00014768577854518128,8.500645387621297e-05,0.0008580765845611626,0.0012133620922809435,-0.14394103319633372,0.36149232304472106,-0.0161699998570838,-0.3785740890728231,0,1,0,0,0,0,0.0006606424177993108,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,6.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-03 21:45:00+00:00,20.4118,20.417885,20.409015,20.41585,0.00019106454797301886,0.00043539056395691667,0.00016485009052047417,0.0011093084463752022,0.17882788379505465,0.21643308751868637,-0.0013999999500812,-0.19711820712727343,1,0,0,0,0,0,0.0006605162165669637,0.003090708236160644,0.004476619609371542,1.9403015820461935,0,0,0,1,0.0021624584872089753,1000000000.0,7.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 08:00:00+00:00,20.47765,20.48695,20.467515,20.4778,2.4417281575095373e-05,-0.00027827275612080093,0.0008699902248288094,0.0009832074848229219,0.0074501117296609095,0.7128370466367948,0.0015700003568782026,0.13444974169752072,1,0,0,0,0,0,0.0003752844543846622,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,0.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 08:15:00+00:00,20.47795,20.48475,20.4698,20.4748,-0.00014650011231676086,-0.000946609284578126,8.547822625337709e-05,0.0009495934548003242,-0.16201423445580912,0.6619041525459328,0.0196599994524149,0.5051744636296778,0,0,0,0,0,0,0.00037533944165502156,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,1.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 08:30:00+00:00,20.4755,20.47665,20.4551,20.460035,-0.0007211303651316614,-0.000843128732791798,-0.0008846013922154672,0.0009640112830973071,-0.7840819115209791,0.6518980028424961,0.004299999927752703,0.031215660815680016,0,1,0,1,0,0,0.0003756103056518835,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,2.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 08:45:00+00:00,20.459885,20.47585,20.45515,20.46885,0.0004308399276931052,-0.000437058668411594,-0.0007152098030122067,0.0009699556796574846,0.4515490781957339,0.6261736891994707,-0.04318999909446569,-1.3107232751234952,0,0,0,0,0,0,0.00037544854742685766,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,3.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 09:00:00+00:00,20.46865,20.4848,20.4645,20.482100000000003,0.0006473250817706777,0.00035653583917816256,-0.000590410945535691,0.0009722323559798981,0.675425933682285,0.34781480348976695,-0.011890000518178501,-0.6635374748479393,0,1,0,0,0,0,0.0003752056673875352,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,4.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 09:15:00+00:00,20.48175,20.4889,20.4636,20.4721,-0.0004882311872318468,0.0005896861857763724,-0.0002539397283820577,0.0010077900635479726,-0.46772959152860216,0.42275476993808403,-0.0626199985272249,-2.010411107533673,0,0,0,0,0,0,0.0003753889439773269,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,5.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 09:30:00+00:00,20.4738,20.5103,20.4731,20.49945,0.0013359645566404232,0.0014949545284663746,0.0010572424772192779,0.0011207147069132158,1.1164777928109078,0.4988765083820007,-0.0308199991850415,-0.9417712350142248,0,0,1,0,0,0,0.00037488810675399755,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,6.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 09:45:00+00:00,20.4991,20.50405,20.477765,20.48075,-0.0009122195961354107,-6.591121027643698e-05,0.0002906011291929911,0.001143292949988683,-0.7836690347518541,0.42444386106702225,-0.037959998458972896,-1.079631127444317,0,1,0,0,0,0,0.00037523039927728403,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,7.0,0,1,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 10:00:00+00:00,20.4805,20.4895,20.4691,20.48345,0.00013183110970071965,0.0005544130792640711,0.001144426194774395,0.0011235134124093504,0.12818601557326298,0.41523719853853186,0.1109899983566718,2.644853695007537,1,0,0,0,0,0,0.0003751809387577891,-0.0012281892632329816,0.004036107604833742,2.2962470333289313,0,0,0,1,0.002160164090327844,1000000000.0,8.0,0,1,0,1,False,False,0.0,0.0,1,1,0
