entry_ts,equity
2024-01-15 14:45:00+00:00,1.0005991728739205
2024-01-19 10:05:00+00:00,1.0012855486686734
2024-01-19 13:40:00+00:00,1.000358664972757
2024-01-25 11:00:00+00:00,0.9997019081110049
2024-01-25 13:30:00+00:00,1.0040075201687952
2024-01-26 06:55:00+00:00,1.0034341602173606
2024-02-01 08:00:00+00:00,1.0042501440555205
2024-02-01 12:20:00+00:00,1.005403754462884
2024-02-02 11:30:00+00:00,1.0072223610782545
2024-02-05 08:20:00+00:00,1.0062338741435954
2024-02-05 12:00:00+00:00,1.0053259660080047
2024-02-06 12:10:00+00:00,1.0045837430452258
2024-02-07 13:30:00+00:00,1.0064506972650413
2024-02-07 16:05:00+00:00,1.0052043069332506
2024-02-08 11:10:00+00:00,1.006830692499864
2024-02-09 13:30:00+00:00,1.0071549310196015
2024-02-13 12:00:00+00:00,1.0064700467428391
2024-02-23 12:25:00+00:00,1.0076746456936136
2024-02-29 10:15:00+00:00,1.0093528481646057
2024-02-29 14:10:00+00:00,1.012513080303789
2024-03-06 15:50:00+00:00,1.0117654399947464
2024-03-08 14:00:00+00:00,1.0134774548956862
2024-03-15 13:25:00+00:00,1.0137532124419042
2024-03-21 13:25:00+00:00,1.0125192926175575
2024-03-21 14:50:00+00:00,1.0111737873918987
2024-03-21 15:30:00+00:00,1.0105654987910127
2024-03-22 14:10:00+00:00,1.0094118480379457
2024-03-26 07:25:00+00:00,1.0088856344168082
2024-03-26 14:40:00+00:00,1.009696589882647
2024-03-27 06:20:00+00:00,1.0092236674263269
2024-03-28 05:50:00+00:00,1.009846090255937
2024-03-31 22:40:00+00:00,1.0101663155615583
2024-04-05 06:50:00+00:00,1.0096975452661547
2024-04-05 07:30:00+00:00,1.0091345025771856
2024-04-05 11:45:00+00:00,1.0086592158174084
2024-04-10 14:20:00+00:00,1.0074130747668846
2024-04-10 14:45:00+00:00,1.0062670720878542
2024-04-11 12:45:00+00:00,1.0049437857168868
2024-04-12 13:45:00+00:00,1.0041108372824734
2024-04-12 14:10:00+00:00,1.005380046075758
2024-04-17 05:05:00+00:00,1.0061113127166417
2024-04-17 05:45:00+00:00,1.0057194336601196
2024-04-19 02:40:00+00:00,1.0046503771460797
2024-04-19 11:05:00+00:00,1.0039917752553096
2024-04-19 12:05:00+00:00,1.003205429135168
2024-04-19 12:25:00+00:00,1.0023192247600954
2024-04-25 14:30:00+00:00,1.0009337562266103
2024-04-26 12:35:00+00:00,1.004486897157772
2024-05-03 11:00:00+00:00,1.0038938665933
2024-05-03 12:55:00+00:00,1.0060860881324984
2024-05-09 13:40:00+00:00,1.0047487391773025
2024-05-10 12:00:00+00:00,1.0039924919292682
2024-05-10 13:55:00+00:00,1.005776286049638
2024-05-15 13:00:00+00:00,1.0057590646522654
2024-05-22 12:50:00+00:00,1.005769882879186
2024-05-23 13:50:00+00:00,1.0045876182482774
2024-05-24 11:10:00+00:00,1.0058683453666706
2024-05-24 13:55:00+00:00,1.0061527399610075
2024-05-30 12:15:00+00:00,1.0072732379732072
2024-05-30 12:40:00+00:00,1.0084843187400956
2024-06-07 12:00:00+00:00,1.0097425737646484
2024-06-12 14:55:00+00:00,1.0103815865521397
2024-06-14 06:20:00+00:00,1.00989350350771
2024-06-14 06:40:00+00:00,1.009200551708325
2024-06-18 09:15:00+00:00,1.0102666258146038
2024-06-21 08:05:00+00:00,1.0092662890387916
2024-06-27 11:45:00+00:00,1.008804219711291
2024-06-28 11:20:00+00:00,1.0083130137496115
2024-06-28 12:15:00+00:00,1.007745759086223
2024-06-28 12:40:00+00:00,1.0067378479623468
