entry_ts,equity
2024-01-03 16:35:00+00:00,0.9983243710173717
2024-01-04 11:40:00+00:00,0.9992898009087305
2024-01-05 17:30:00+00:00,0.9964771097186355
2024-01-12 18:10:00+00:00,0.9976296351861176
2024-01-16 10:25:00+00:00,1.000049199827102
2024-01-16 16:00:00+00:00,1.0043090675558974
2024-01-16 18:25:00+00:00,1.002949596494027
2024-01-16 19:45:00+00:00,1.0032260731161697
2024-01-17 02:30:00+00:00,1.0075682511785087
2024-01-18 07:20:00+00:00,1.0059895380504673
2024-01-19 06:20:00+00:00,1.0075671952415834
2024-01-19 08:45:00+00:00,1.009889909615215
2024-01-19 19:00:00+00:00,1.008829825912591
2024-01-22 12:15:00+00:00,1.0075013110892053
2024-01-22 16:00:00+00:00,1.0079448164740552
2024-01-23 05:00:00+00:00,1.009703969833311
2024-01-23 21:30:00+00:00,1.0088664611382399
2024-01-24 07:15:00+00:00,1.0114807822332188
2024-01-24 17:00:00+00:00,1.0086210529585258
2024-01-24 20:40:00+00:00,1.007911365798076
2024-01-25 07:55:00+00:00,1.0090317585773088
2024-01-25 09:05:00+00:00,1.0076587533677188
2024-01-26 04:30:00+00:00,1.0068543326274417
2024-01-26 09:40:00+00:00,1.009261674953776
2024-01-26 15:30:00+00:00,1.0074673482708247
2024-01-26 17:40:00+00:00,1.0066304538251174
2024-01-29 06:05:00+00:00,1.0075792647966795
2024-01-29 07:50:00+00:00,1.0100398463266675
2024-01-29 13:20:00+00:00,1.01208791601663
2024-01-29 14:15:00+00:00,1.014503645311799
2024-01-29 17:15:00+00:00,1.0132555749063605
2024-01-29 18:45:00+00:00,1.0123795302371545
2024-02-02 15:55:00+00:00,1.0145624070941506
2024-02-05 02:20:00+00:00,1.0171222911829367
2024-02-07 06:55:00+00:00,1.0181405474267682
2024-02-07 09:25:00+00:00,1.01716238421564
2024-02-07 14:40:00+00:00,1.0145187032197853
2024-02-08 04:15:00+00:00,1.013778658846087
2024-02-08 05:55:00+00:00,1.012801701857439
