ts,symbol,side,cash_flow,cash_balance
2024-01-03 16:35:00+00:00,XAUUSD,sell,20.33145,20.33145
2024-01-03 18:45:00+00:00,XAUUSD,buy,-20.361451676878858,-0.030001676878857353
2024-01-04 11:40:00+00:00,XAUUSD,sell,20.47295,20.442948323121144
2024-01-04 12:00:00+00:00,XAUUSD,buy,-20.449057037378733,-0.006108714257589298
2024-01-05 17:30:00+00:00,XAUUSD,sell,20.4068,20.40069128574241
2024-01-05 18:40:00+00:00,XAUUSD,buy,-20.4601574595755,-0.059466173833087055
2024-01-12 18:10:00+00:00,XAUUSD,buy,-20.45555,-20.515016173833086
2024-01-15 01:10:00+00:00,XAUUSD,sell,20.4833,-0.031716173833086
2024-01-16 10:25:00+00:00,XAUUSD,sell,20.4004,20.368683826166915
2024-01-16 13:10:00+00:00,XAUUSD,buy,-20.34684255409083,0.02184127207608455
2024-01-16 16:00:00+00:00,XAUUSD,sell,20.3615,20.383341272076084
2024-01-16 17:05:00+00:00,XAUUSD,buy,-20.270694670490187,0.11264660158589734
2024-01-16 18:25:00+00:00,XAUUSD,buy,-20.26795,-20.1553033984141
2024-01-16 18:50:00+00:00,XAUUSD,sell,20.24456811978614,0.08926472137203945
2024-01-16 19:45:00+00:00,XAUUSD,buy,-20.28745,-20.19818527862796
2024-01-17 01:45:00+00:00,XAUUSD,sell,20.2971,0.09891472137204005
2024-01-17 02:30:00+00:00,XAUUSD,sell,20.2863,20.38521472137204
2024-01-17 05:20:00+00:00,XAUUSD,buy,-20.19443927357651,0.1907754477955308
2024-01-18 07:20:00+00:00,XAUUSD,sell,20.1165,20.30727544779553
2024-01-18 12:05:00+00:00,XAUUSD,buy,-20.14399633413208,0.1632791136634495
2024-01-19 06:20:00+00:00,XAUUSD,buy,-20.225415,-20.062135886336552
2024-01-19 07:20:00+00:00,XAUUSD,sell,20.26117887351535,0.19904298717879954
2024-01-19 08:45:00+00:00,XAUUSD,buy,-20.2861,-20.0870570128212
2024-01-19 12:00:00+00:00,XAUUSD,sell,20.336922156648843,0.24986514382764113
2024-01-19 19:00:00+00:00,XAUUSD,buy,-20.2842,-20.034334856172357
2024-01-22 00:25:00+00:00,XAUUSD,sell,20.26696446977624,0.23262961360388346
2024-01-22 12:15:00+00:00,XAUUSD,buy,-20.274515,-20.041885386396117
2024-01-22 13:15:00+00:00,XAUUSD,sell,20.2518706589624,0.20998527256628208
2024-01-22 16:00:00+00:00,XAUUSD,sell,20.22795,20.437935272566282
2024-01-22 22:00:00+00:00,XAUUSD,buy,-20.215,0.2229352725662821
2024-01-23 05:00:00+00:00,XAUUSD,buy,-20.28615,-20.063214727433717
2024-01-23 06:55:00+00:00,XAUUSD,sell,20.32561239140924,0.26239766397552344
2024-01-23 21:30:00+00:00,XAUUSD,buy,-20.291135,-20.028737336024477
