pair,config_name,base_rule,htf_rule,use_sweep_idea,use_fvg_idea,footprint_threshold,entry_mode,stop_atr_mult,target_rr,idea_window_bars,max_hold_bars,n_trials,fee_bps,best_prob_threshold,best_val_score,best_val_total_return,best_val_sharpe,best_val_max_drawdown,best_val_n_trades,test_total_return,test_sharpe,test_max_drawdown,test_n_trades,test_win_rate,test_avg_trade,n_train,n_val,n_test,class_0,class_1,class_2,test_ts_start,stability_score,rank
EURUSD,eurusd_prod_4h15m,15min,4h,True,True,0.25,cross_or_ret,1.0,1.5,8,16,40,1.0,0.6591846793244003,0.007679305132816857,0.00770012015389443,1.453494136654394,-0.0027105344451832623,16,0.0014331402367113721,0.41943079938858935,-0.0012752889254577526,15,0.6,9.584404951182487e-05,2808,936,937,4460,100,153,2024-05-20 01:05:00+00:00,0.0001853008590111284,1
GBPUSD,gbpusd_prod_4h15m,15min,4h,True,True,0.25,cross_or_ret,1.0,1.5,8,16,40,1.0,0.6952873563109367,0.00821714876605957,0.008225757279931356,1.9997387472071884,-0.0010476278471849862,13,-0.0008484246875526402,-0.2627019118538906,-0.004206132731866268,13,0.5384615384615384,-6.492259897272404e-05,3153,1051,1051,5067,100,120,2024-05-20 14:00:00+00:00,0.0,2
