entry_idx,exit_idx,entry_ts,exit_ts,side,entry,stop,target,exit_price,exit_reason,gross_ret,net_ret,risk_pct,r_multiple
499,525,2024-01-03 16:35:00+00:00,2024-01-03 18:45:00+00:00,short,20.33145,20.360376257659144,20.273597484681712,20.360376257659144,stop,-0.001422734613573784,-0.001622734613573784,0.0014227346135737503,-1.1405743537489974
528,533,2024-01-03 19:00:00+00:00,2024-01-03 19:25:00+00:00,short,20.34035,20.365760012760017,20.28952997447997,20.365760012760017,stop,-0.001249241667917067,-0.0014492416679170671,0.0012492416679170263,-1.1600971245006755
538,576,2024-01-03 19:50:00+00:00,2024-01-03 23:00:00+00:00,short,20.3625,20.426933601890475,20.23363279621905,20.426933601890475,stop,-0.003164326673565254,-0.0033643266735652543,0.0031643266735653544,-1.0632045991355716
605,612,2024-01-04 01:25:00+00:00,2024-01-04 02:00:00+00:00,short,20.41215,20.434965880286217,20.366518239427567,20.434965880286217,stop,-0.0011177597796516725,-0.0013177597796516726,0.0011177597796516701,-1.1789293213640228
728,731,2024-01-04 11:40:00+00:00,2024-01-04 11:55:00+00:00,short,20.47295,20.484434860982976,20.44998027803405,20.44998027803405,target,0.0011219546751176646,0.0009219546751176646,0.0005609773375588259,1.6434793560221248
747,748,2024-01-04 13:15:00+00:00,2024-01-04 13:20:00+00:00,short,20.4533,20.46390931731765,20.432081365364695,20.432081365364695,target,0.0010374186383275141,0.0008374186383275141,0.0005187093191637438,1.6144275912820722
750,774,2024-01-04 13:30:00+00:00,2024-01-04 15:30:00+00:00,short,20.41985,20.476135597080553,20.307278805838894,20.476135597080553,stop,-0.0027564157954418356,-0.0029564157954418357,0.0027564157954418334,-1.0725579933398204
784,785,2024-01-04 16:20:00+00:00,2024-01-04 16:25:00+00:00,short,20.44345,20.458370244211235,20.413609511577526,20.458370244211235,stop,-0.000729830053696201,-0.000929830053696201,0.0007298300536962288,-1.2740363975325963
792,864,2024-01-04 17:00:00+00:00,2024-01-04 23:00:00+00:00,short,20.4372,20.468775506624887,20.37404898675023,20.43083,time,0.000311686532401767,0.00011168653240176702,0.0015450015963481382,0.0722889429975136
907,953,2024-01-05 02:35:00+00:00,2024-01-05 06:25:00+00:00,short,20.4634,20.4811153442487,20.4279693115026,20.4279693115026,target,0.0017314174818162664,0.0015314174818162663,0.000865708740908143,1.7689754159589615
