ts,equity
2024-01-02 13:45:00+00:00,1.263255
2024-01-02 15:40:00+00:00,2.35852
2024-01-02 19:45:00+00:00,1.09642
2024-01-02 19:55:00+00:00,2.3584449999999997
2024-01-02 20:15:00+00:00,1.0957914230789687
2024-01-02 20:40:00+00:00,2.3578264230789685
2024-01-02 21:40:00+00:00,1.2637414230789685
2024-01-03 00:20:00+00:00,0.0010199959384155999
2024-01-03 01:15:00+00:00,2.3586199959384158
2024-01-03 01:25:00+00:00,1.2635028349071729
2024-01-03 01:55:00+00:00,2.358647834907173
2024-01-03 03:30:00+00:00,-0.00027971002172949994
2024-01-03 04:45:00+00:00,2.3595202899782706
2024-01-03 04:55:00+00:00,1.2633112095545718
2024-01-03 05:25:00+00:00,2.3591962095545718
2024-01-03 05:55:00+00:00,0.0008368813587309014
2024-01-03 07:00:00+00:00,1.0964468813587311
2024-01-03 07:10:00+00:00,2.3596268813587313
2024-01-03 07:30:00+00:00,1.2635116489222502
2024-01-03 08:10:00+00:00,-0.0011969815008317
2024-01-03 08:20:00+00:00,1.0946180184991683
2024-01-03 09:15:00+00:00,0.0003916533320318001
2024-01-03 09:45:00+00:00,1.0940566533320322
2024-01-03 09:50:00+00:00,2.356871653332032
2024-01-03 12:20:00+00:00,1.0930363865517314
2024-01-03 12:35:00+00:00,2.3551763865517312
2024-01-03 13:35:00+00:00,1.0908704921253116
2024-01-03 14:10:00+00:00,2.352895492125312
2024-01-03 14:45:00+00:00,1.0896442445882342
2024-01-03 15:45:00+00:00,-0.0004407554117663
2024-01-03 16:35:00+00:00,20.331009244588234
2024-01-03 17:05:00+00:00,21.421474244588232
2024-01-03 18:45:00+00:00,1.0600225677093764
2024-01-03 19:25:00+00:00,-0.031611991752393605
2024-01-03 21:45:00+00:00,1.2346780082476063
2024-01-03 22:15:00+00:00,-0.0322305483974663
2024-01-04 01:25:00+00:00,1.0596994516025338
2024-01-04 03:10:00+00:00,-1.299046110592642
2024-01-04 05:00:00+00:00,-0.2066211105926421
2024-01-04 06:10:00+00:00,-1.2995130782882571
2024-01-04 06:55:00+00:00,-0.0316186420183996
2024-01-04 08:45:00+00:00,-1.3013936420183998
2024-01-04 10:10:00+00:00,-0.20514864201839988
2024-01-04 10:25:00+00:00,1.0678169729627969
2024-01-04 10:40:00+00:00,2.3388819729627968
2024-01-04 11:40:00+00:00,22.811831972962796
2024-01-04 12:00:00+00:00,2.362774935584065
2024-01-04 13:30:00+00:00,1.2686306652843184
2024-01-04 14:00:00+00:00,0.0016344957108803994
2024-01-04 15:55:00+00:00,1.0971494957108805
2024-01-04 17:05:00+00:00,-0.1722555042891194
2024-01-04 17:20:00+00:00,1.096552167741101
2024-01-04 21:05:00+00:00,-0.17200283225889912
2024-01-04 21:55:00+00:00,-1.2664428322588994
2024-01-05 02:30:00+00:00,-0.17140783225889922
2024-01-05 03:05:00+00:00,1.0973571677411007
2024-01-05 03:15:00+00:00,0.0030111937928249998
2024-01-05 05:50:00+00:00,1.0964961937928248
2024-01-05 05:55:00+00:00,0.002785954687824399
2024-01-05 06:00:00+00:00,1.0961659546878244
2024-01-05 06:30:00+00:00,0.0034653983211139997
2024-01-05 07:40:00+00:00,1.095905398321114
2024-01-05 08:55:00+00:00,0.0053744833341603
