week_start,status,move_threshold,prob_threshold,sl_atr,tp_atr,rr,n_trades_week
2024-01-15 00:00:00+00:00,ok,0.0028687431168094475,0.586140394234507,1.9398395265009893,6.0,3.0930393561056486,3
2024-01-22 00:00:00+00:00,ok,0.0027452073262545953,0.620501755284444,1.7883223639449555,6.0,3.355099796862645,2
2024-01-29 00:00:00+00:00,ok,0.0026318049748105922,0.620501755284444,1.6418859861975799,6.0,3.6543341318672553,2
2024-02-05 00:00:00+00:00,ok,0.002739162012733987,0.4398532019712619,1.2897276765246921,6.0,4.652144874616464,8
2024-02-12 00:00:00+00:00,ok,0.0026832534500800974,0.620501755284444,1.9972471879064804,6.0,3.0041349094531515,3
2024-02-19 00:00:00+00:00,ok,0.0024476961791527587,0.586140394234507,2.5501013931467735,6.0,2.3528476224993424,2
2024-02-26 00:00:00+00:00,ok,0.0023816799256290116,0.586140394234507,3.0,6.0,1.9999999999993332,2
2024-03-04 00:00:00+00:00,ok,0.002056601428998101,0.620501755284444,1.4138195070190562,6.0,4.24382318266803,1
2024-03-11 00:00:00+00:00,ok,0.001954877394287441,0.4398532019712619,2.2478792953316766,6.0,2.669182465650152,3
2024-03-18 00:00:00+00:00,ok,0.002008610778642461,0.4398532019712619,2.6843626632650275,6.0,2.2351674317731276,4
2024-03-25 00:00:00+00:00,ok,0.0023351094660384437,0.586140394234507,2.2718524195535332,6.0,2.641016620778776,2
2024-04-01 00:00:00+00:00,ok,0.0021871545989716025,0.4398532019712619,1.5801424082620033,6.0,3.797126112573357,3
2024-04-08 00:00:00+00:00,ok,0.0019291795055494667,0.620501755284444,1.5575704503290209,6.0,3.852153203554105,6
2024-04-15 00:00:00+00:00,ok,0.002519686258349063,0.620501755284444,2.6591317060515207,6.0,2.256375638086387,2
2024-04-22 00:00:00+00:00,ok,0.00278121701144139,0.620501755284444,3.0,6.0,1.9999999999993332,2
2024-04-29 00:00:00+00:00,ok,0.002923060412962386,0.586140394234507,2.254151308653352,6.0,2.661755658089246,3
2024-05-06 00:00:00+00:00,ok,0.0029266784569525785,0.586140394234507,2.9377979435771993,6.0,2.042346041229806,0
2024-05-13 00:00:00+00:00,ok,0.0021508302694249414,0.620501755284444,1.6969024382700386,6.0,3.5358544278558264,4
2024-05-20 00:00:00+00:00,ok,0.002093363880314159,0.7137788066524076,3.0,6.0,1.9999999999993332,1
2024-05-27 00:00:00+00:00,ok,0.0021619232915719763,0.7137788066524076,2.7661132431845665,6.0,2.169108591190634,1
2024-06-03 00:00:00+00:00,ok,0.0018897689056209365,0.4398532019712619,2.1718532623410733,6.0,2.762617578284155,2
2024-06-10 00:00:00+00:00,ok,0.0019331638047989986,0.7137788066524076,2.050871625967076,6.0,2.9255853579659385,2
2024-06-17 00:00:00+00:00,ok,0.0023729708990573974,0.620501755284444,1.7536111248196895,6.0,3.4215111406832075,4
2024-06-24 00:00:00+00:00,ok,0.0020998186252272288,0.586140394234507,2.6468933013985567,6.0,2.266808411516805,1
