ts,open,high,low,close,ret1,ret3,ret6,atr_rel,body_rel,vol_log1p,footprint_raw,footprint_z,fh,fl,cross_up,cross_dn,in_bull_fvg,in_bear_fvg,fvg_width,htf_ret1,htf_atr_rel,htf_vol_log1p,htf_sweep_long,htf_sweep_short,htf_in_bull_fvg,htf_in_bear_fvg,htf_fvg_width,htf_age_long,htf_age_short,htf_long_bias,htf_short_bias,session_ok,vol_regime_ok,long_setup,short_setup,long_ret,short_ret,long_hold_bars,short_hold_bars,y
2024-01-03 00:00:00+00:00,1.26227,1.2624650000000002,1.26201,1.2624650000000002,0.00015844533437925357,7.525527381035957e-05,0.00045962983948633074,0.0003281768296020934,0.470660062780444,7.598379271726628,332.80000169575214,1.1049263686533877,0,0,1,0,0,0,1.1881517507308589e-05,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,0.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 00:15:00+00:00,1.26246,1.262955,1.262355,1.262935,0.000372287548565442,0.0005347551217658175,0.0007369225953939296,0.00034765858339958134,1.081831576050388,7.529954095540867,445.79000091552734,1.5976291348574339,0,0,0,0,0,0,1.1877095812424509e-05,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,1.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 00:30:00+00:00,1.26294,1.26322,1.2629199999999998,1.26314,0.0001623203094378578,0.0006931983379083739,0.0007724822031984768,0.00033292232105887744,0.4755931520013789,7.741742072854764,353.1600084900856,0.9777362384631181,0,1,0,0,0,0,0.0003602134363564529,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,2.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 00:45:00+00:00,1.26313,1.26317,1.262905,1.263125,-1.1875168231423316e-05,0.0005227867703261335,0.0005980813865980039,0.0003165090553502641,-0.012506550257641025,7.969302384242368,545.4600021839142,1.8498786328657706,0,0,0,0,0,0,0.0003602177140024066,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,3.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 01:00:00+00:00,1.26313,1.26337,1.26296,1.2631100000000002,-1.187530925272906e-05,0.00013856611781304373,0.0006733953385200664,0.00031759052428847974,-0.049856442345808875,8.015231485432919,702.9299991801381,2.247628707522689,1,0,0,0,0,0,0.0003602219917499583,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,4.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 01:15:00+00:00,1.263085,1.263085,1.2625449999999998,1.26295,-0.000126671469626638,-0.000150418797599583,0.0005426752702484272,0.0003349286972428113,-0.31915029487287705,8.10122914836925,191.4699950292707,-0.013412228945692687,0,1,0,0,0,0,0.00036026762737977736,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,5.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 01:30:00+00:00,1.2629549999999998,1.26324,1.26283,1.26297,1.5835939664921028e-05,-0.00012271152894616222,0.0004000110894162301,0.0003335511572655938,0.03560703173174819,7.967092974794961,360.0400068163872,0.7550729744713793,1,0,0,0,0,0,0.00036026192229371233,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,6.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 01:45:00+00:00,1.2629800000000002,1.2632949999999998,1.26286,1.262905,-5.1465988899157544e-05,-0.0001622978204591785,-2.3754191625036114e-05,0.00033501840947082294,-0.1772645560100018,7.528971333490451,-58.339997872710214,-1.3316481653422072,0,1,0,0,1,0,0.00036028046448409803,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,7.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-03 02:00:00+00:00,1.262895,1.26315,1.26274,1.26296,4.3550385816937265e-05,7.917969832682559e-06,-0.0001425020187785231,0.0003336212029605128,0.1542659633836071,8.185812757030295,891.8400089591742,2.616949851823338,0,0,0,0,0,0,0.00036026477481415864,0.0014299691427710481,0.002224826090289289,10.565525043166826,0,0,0,1,0.0013646396164758376,1000000000.0,8.0,0,1,0,0,False,False,0.0,0.0,1,1,0
2024-01-04 20:00:00+00:00,1.268315,1.26854,1.26805,1.2684950000000002,0.00014980623745874944,0.0006192267947717767,0.0002168393496397858,0.0005893308377042662,0.24078231072510692,6.384671477673303,40.22999964654446,0.3696271689675988,0,1,0,0,0,0,0.0002365007351229058,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,0.0,176.0,1,0,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 20:15:00+00:00,1.268465,1.268525,1.26791,1.2680950000000002,-0.0003153343134975062,0.00048126802289583104,-9.067898849535183e-05,0.0005755784265719523,-0.5069270027810672,7.279649798518838,-183.74999964237213,-0.5720678266764598,1,0,0,0,0,0,0.00023657533544389837,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,1.0,177.0,1,0,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 20:30:00+00:00,1.26811,1.2685300000000002,1.268035,1.2682099999999998,9.068721191995976e-05,-7.490311872948574e-05,0.00029577981361916805,0.0005508312568091178,0.14314963658316887,7.414735506930972,-272.7900059968233,-0.8981759096508872,0,0,0,0,0,0,0.00023655388303177742,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,2.0,178.0,1,0,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 20:45:00+00:00,1.26823,1.2684449999999998,1.2677299999999998,1.2684449999999998,0.0001853005417082887,-3.941678918739644e-05,0.0005797855976523714,0.0005524562860600449,0.30680956781757013,7.472261930405932,-132.48000172525644,-0.2573882471767301,0,1,0,0,0,0,0.00023651005758998654,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,3.0,179.0,1,0,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 21:00:00+00:00,1.268455,1.268755,1.26833,1.2685650000000002,9.460402303629323e-05,0.00037063469219567047,0.0008520810897172382,0.0005234200522652606,0.16566455684207285,7.385193687130805,358.8299989178777,1.6889274123509195,1,0,1,0,0,0,0.00023648768490359612,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,4.0,180.0,1,0,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 21:15:00+00:00,1.26856,1.268665,1.268115,1.2682449999999998,-0.0002522535305643503,2.7597953020430666e-05,-4.730723288182137e-05,0.000511567857515608,-0.48551666903567553,6.277620438290771,30.58000010251999,0.26765255791356335,0,1,0,0,0,0,0.00023654735480899228,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,5.0,181.0,1,0,0,1,False,False,0.0,0.0,1,1,0
2024-01-04 21:30:00+00:00,1.268235,1.26824,1.267975,1.26812,-9.856139783714912e-05,-0.00025621922905594285,-0.0002956259189040855,0.000471790992803656,-0.19221525065977643,6.399443141586715,-132.8099980801344,-0.5018417326342728,1,0,0,0,0,0,7.097120146346758e-05,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,6.0,182.0,1,0,0,0,False,False,0.0,0.0,1,1,0
2024-01-04 21:45:00+00:00,1.26813,1.26843,1.2680250000000002,1.26821,7.097120146370983e-05,-0.00027984376046963355,9.068721192018181e-05,0.0004514362090044569,0.13973410662857513,7.329139653203721,122.30999971181154,0.5713629563270702,0,0,0,0,0,0,7.096616490948068e-05,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,7.0,183.0,1,0,0,0,False,False,0.0,0.0,1,1,0
2024-01-04 22:00:00+00:00,1.26824,1.26848,1.268185,1.268215,3.9425647171409395e-06,-2.365473548071595e-05,3.942564717362984e-06,0.00042225789213342626,-0.04668413828988079,4.776262252009854,44.67999982833862,0.21146823160772144,0,1,0,0,0,0,7.096588512188587e-05,-0.00013797942923821083,0.0024003722370613805,9.820543337081793,0,0,1,0,0.0006505642166019454,8.0,184.0,1,0,0,0,False,False,0.0,0.0,1,1,0
