,equity
2024-05-21 06:00:00+00:00,1.0001821274832534
2024-05-21 09:35:00+00:00,1.0004098967582917
2024-05-21 17:30:00+00:00,1.0003066157033873
2024-05-23 12:10:00+00:00,0.9994151651029163
2024-05-23 13:35:00+00:00,1.0020279944290182
2024-05-28 16:15:00+00:00,1.0017492474290715
2024-05-28 17:55:00+00:00,1.002254211954179
2024-06-03 08:20:00+00:00,1.0018225520678665
2024-06-04 08:35:00+00:00,1.0021701751085714
2024-06-04 09:55:00+00:00,1.0022739387949706
2024-06-05 16:15:00+00:00,1.0023780788480325
2024-06-07 12:00:00+00:00,1.001777498199873
2024-06-07 13:30:00+00:00,1.002632239613497
2024-06-18 17:20:00+00:00,1.0027118876023968
2024-06-26 08:55:00+00:00,1.0014331402367114
