,equity
2024-05-29 05:50:00+00:00,1.001066397963513
2024-05-30 06:20:00+00:00,1.0050030418602065
2024-05-30 20:20:00+00:00,1.0068175991085828
2024-06-03 02:20:00+00:00,1.0088754773929314
2024-06-03 07:15:00+00:00,1.011934211872172
2024-06-04 16:00:00+00:00,1.0114895445561303
2024-06-07 05:40:00+00:00,1.0159259823625617
2024-06-10 07:50:00+00:00,1.0160566743926822
2024-06-11 23:35:00+00:00,1.0166888416024038
2024-06-12 20:10:00+00:00,1.013646970840324
2024-06-13 13:50:00+00:00,1.0168009875158093
2024-06-17 16:50:00+00:00,1.0184708853119682
2024-06-20 10:20:00+00:00,1.0226576392220739
2024-06-26 06:30:00+00:00,1.020153371637629
2024-06-27 16:15:00+00:00,1.0187845367551727
