ts,open,high,low,close,ret1,ret3,ret6,atr_rel,body_rel,vol_log1p,footprint_raw,footprint_z,fh,fl,cross_up,cross_dn,in_bull_fvg,in_bear_fvg,fvg_width,htf_ret1,htf_atr_rel,htf_vol_log1p,htf_sweep_long,htf_sweep_short,htf_in_bull_fvg,htf_in_bear_fvg,htf_fvg_width,htf_age_long,htf_age_short,htf_long_bias,htf_short_bias,long_setup,short_setup,long_ret,short_ret,long_hold_bars,short_hold_bars,y
2024-01-02 04:00:00+00:00,20.697015,20.698300000000003,20.694665,20.6976,3.551262473799888e-05,3.30967199702048e-05,-7.729767333997106e-05,0.00037171487507942227,0.07603716842929562,0.0898224208517989,-0.0015199999179458,0.07243980442696431,0,1,0,0,0,0,0.00022707946815087146,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,0.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:05:00+00:00,20.6981,20.6994,20.693145,20.6959,-8.213512677801571e-05,0.00019017043572211456,-4.83164145353987e-05,0.00036247719074717976,-0.29326327496612453,0.09719930182946165,-0.01227999952971,-0.6340765616707733,0,0,0,0,0,0,0.0002270981208838213,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,1.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:10:00+00:00,20.69585,20.705165,20.695515,20.704415,0.0004114341487926332,0.00036478954662921836,0.00022778107895282673,0.0003761622565229027,1.0997378843606758,0.07044914346650397,0.0027099998842459,0.515595476987326,0,0,1,0,0,0,0.00022700472338868196,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,2.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:15:00+00:00,20.704665,20.707165,20.693515,20.69405,-0.0005006178633880642,-0.00017151747062460476,-0.00013842642732020405,0.0004141185608521023,-1.2386534262594338,0.15194825439225232,-0.0259599995042663,-1.820815625584515,0,1,0,0,0,0,0.0002271184229283044,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,3.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:20:00+00:00,20.69395,20.7008,20.6901,20.6999,0.00028268995194258295,0.00019327499649679503,0.00038348218740935636,0.00042772275117147963,0.6720264501026226,0.06577837626792803,-0.0092999998887535,-0.23123194062185226,0,0,0,0,0,0,0.000227054236976965,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,4.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:25:00+00:00,20.6996,20.700000000000003,20.6938,20.695465,-0.00021425224276450106,-0.0004322749519849456,-6.764309473938912e-05,0.0004107168287051445,-0.48647197586080504,0.05514138011258812,-0.0193899993610102,-1.0650510105855462,1,0,0,0,0,0,0.0002271028942814031,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,5.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:30:00+00:00,20.696365,20.702465,20.696365,20.7006,0.0002481219919436839,0.0003165161000384664,0.00014494434137302115,0.000400953546576493,0.5102422556130459,0.058089646354714766,-0.0069099998363526,-0.00014745825734871026,0,1,0,0,0,0,0.00022704655903691087,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,6.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:35:00+00:00,20.7011,20.704700000000003,20.69855,20.7036,0.0001449233355554913,0.00017874482485424892,0.00037205436825660243,0.00038704935960058573,0.31198074227787,0.0761273593246771,-0.0083999997732462,-0.18207569877626154,0,0,0,0,0,0,0.00022701365946016527,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,7.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:40:00+00:00,20.7034,20.7038,20.6986,20.69975,-0.00018595799764287158,0.00020705019191424867,-0.00022531426268257437,0.00036899993664513055,-0.4778608733442542,0.07631268148518544,-0.0212399994197767,-1.3406443031770356,0,0,0,0,0,0,0.00022705588231739405,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,8.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:45:00+00:00,20.700265,20.70265,20.6977,20.6977,-9.903501250019264e-05,-0.0001400925577036416,0.00017637920078472646,0.0003517192206586714,-0.3523458651906561,0.11607490908760085,-0.0070799998211441,0.09966805942549742,1,0,0,0,0,0,0.00022707837102670718,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,9.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:50:00+00:00,20.69775,20.698965,20.692265,20.692515,-0.00025051092633487926,-0.0005354141308758775,-0.00035676500852654947,0.00034807151563276043,-0.7268334783383316,0.15492466378517494,-0.0318499987479299,-2.0946849973337565,0,0,0,0,0,0,0.00022713527089382213,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,10.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 04:55:00+00:00,20.6924,20.69885,20.68955,20.69685,0.00020949604240949604,-0.0001400983103660991,6.692287416609766e-05,0.00036151129522268865,0.594749228911575,0.10123802829410243,-0.0128599995368858,-0.25674721892047697,0,0,0,0,0,0,0.00022708769692003747,-7.247474437255264e-07,0.0017369789122498207,0.7762145321396764,0,1,0,0,0.00022298079176304235,1000000000.0,11.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 05:00:00+00:00,20.697000000000003,20.701565,20.69585,20.69825,6.76431437633962e-05,2.6573000864837937e-05,-0.00011352327951841268,0.00035010330392467237,0.17249645551138965,0.0827406019013114,-0.0140799997170688,-0.3410332079843343,0,0,0,0,0,0,0.00022707233703329882,0.0023554308989048867,0.001844406833256097,0.8568591378392764,0,0,0,0,0.00022245681011881667,1000000000.0,12.0,0,1,False,False,0.0,0.0,1,1,0
2024-01-02 05:05:00+00:00,20.6981,20.7046,20.6972,20.704,0.0002778012633917193,0.0005550316140885414,1.932031144336044e-05,0.0003509944430575907,0.811890597404572,0.03707417929982538,0.0011699999740812,1.0899478785761723,0,1,0,0,0,0,0.00022700927357029936,0.0023554308989048867,0.001844406833256097,0.8568591378392764,0,0,0,0,0.00022245681011881667,1000000000.0,13.0,0,1,False,False,0.0,0.0,1,1,0
