pair,config_name,bars_ok,bars_rows,bars_issues,selected_trades,reported_test_total_return,reported_test_sharpe,reported_test_max_drawdown,corrected_net_test_total_return,corrected_net_test_sharpe,corrected_net_test_max_drawdown,risk_1pct_total_return,risk_1pct_sharpe,risk_1pct_max_drawdown,risk_1pct_end_equity,risk_1pct_profit_on_10k,invalid_risk_rows
EURUSD,eurusd_prod_4h15m,True,37188,,15,0.0014331402367113721,0.41943079938858935,-0.0012752889254577526,0.0014331402367113721,0.41943079938858935,-0.0012752889254577526,0.021391744440340643,0.4176476849838058,-0.02275004610516274,1.0213917444403406,213.91744440340642,0
GBPUSD,gbpusd_prod_4h15m,True,37187,,13,-0.0008484246875526402,-0.2627019118538906,-0.004206132731866268,-0.0008484246875526402,-0.2627019118538906,-0.004206132731866268,0.01602586591624422,0.32856008335744774,-0.04758169649936298,1.0160258659162442,160.2586591624422,0
