trial,val_score,train_total_return,val_total_return,test_total_return,train_max_drawdown,val_max_drawdown,test_max_drawdown,train_n_trades,val_n_trades,test_n_trades,config
132,-0.0013630597532679539,0.01541224706608424,-0.010666269410761542,0.003904202877293539,-0.010164083002950063,-0.01728117206496076,-0.006993567919903215,33,13,12,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 12, ""body_threshold"": 0.9, ""stop_buffer_atr"": 0.05, ""target_rr"": 2.0, ""max_hold_bars"": 96, ""session_fractal_left"": 1, ""session_fractal_right"": 2, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 1, ""allowed_sessions"": [""newyork""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 18, ""ema_span"": 34}"
73,-0.0013691965957238735,-0.0025813853837080014,-0.006950911128145498,-0.002367075176594291,-0.01763668504387927,-0.015326966171816746,-0.007836927673645558,47,20,19,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 24, ""body_threshold"": 0.75, ""stop_buffer_atr"": 0.15, ""target_rr"": 2.0, ""max_hold_bars"": 24, ""session_fractal_left"": 2, ""session_fractal_right"": 1, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""newyork""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 6, ""ema_span"": 34}"
164,-0.0014153590736665778,-0.009258696285563861,-0.015966670790464987,0.0019461149030131075,-0.01820981822699346,-0.01529032305505896,0.0,23,9,2,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 8, ""body_threshold"": 0.9, ""stop_buffer_atr"": 0.2, ""target_rr"": 2.0, ""max_hold_bars"": 72, ""session_fractal_left"": 1, ""session_fractal_right"": 2, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""london""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 6, ""ema_span"": 144}"
113,-0.0014484003846748027,0.019967621456087103,-0.00591148164673061,0.011768430315247658,-0.00969480252186884,-0.0203466025828669,-0.0028598898875549137,57,25,19,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 8, ""body_threshold"": 0.35, ""stop_buffer_atr"": 0.1, ""target_rr"": 2.0, ""max_hold_bars"": 24, ""session_fractal_left"": 1, ""session_fractal_right"": 1, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""asia"", ""london"", ""newyork""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 12, ""ema_span"": 50}"
48,-0.0014561479631923044,-0.006503386168644099,-0.007744423166621495,0.0036310497224611993,-0.024075216684043027,-0.010501981153243634,-0.0014980554495866993,40,19,9,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 18, ""body_threshold"": 1.1, ""stop_buffer_atr"": 0.05, ""target_rr"": 2.0, ""max_hold_bars"": 24, ""session_fractal_left"": 2, ""session_fractal_right"": 1, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 1, ""allowed_sessions"": [""london""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 18, ""ema_span"": 34}"
200,-0.00146370008701154,0.013718962530254064,-0.006759592259147573,0.003457583356783811,-0.018509138291697907,-0.015993857080874356,-0.004503942410746249,65,22,17,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 18, ""body_threshold"": 0.9, ""stop_buffer_atr"": 0.15, ""target_rr"": 2.0, ""max_hold_bars"": 36, ""session_fractal_left"": 2, ""session_fractal_right"": 1, ""ltf_fractal_left"": 2, ""ltf_fractal_right"": 1, ""allowed_sessions"": [""london"", ""newyork""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 18, ""ema_span"": 34}"
199,-0.0014830136670319163,-0.019233160607827315,-0.00800737357660386,0.0005319709864504141,-0.0254157823633316,-0.02588466537846875,-0.0062464087693792116,33,19,7,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 30, ""body_threshold"": 0.6, ""stop_buffer_atr"": 0.05, ""target_rr"": 2.0, ""max_hold_bars"": 72, ""session_fractal_left"": 1, ""session_fractal_right"": 1, ""ltf_fractal_left"": 2, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""london""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 12, ""ema_span"": 89}"
103,-0.0015243397019440333,0.014770300675598147,-0.010394634767969424,0.0020332134422471615,-0.010638119945346783,-0.022865974826298974,-0.004333326031133349,35,15,12,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 8, ""body_threshold"": 0.5, ""stop_buffer_atr"": 0.05, ""target_rr"": 2.0, ""max_hold_bars"": 48, ""session_fractal_left"": 2, ""session_fractal_right"": 2, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""london"", ""newyork""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 24, ""ema_span"": 50}"
138,-0.001527895723351518,-0.019510295837719016,-0.00825287124596863,0.000579802288906972,-0.025755161747076656,-0.02627784918099705,-0.006360549221878617,33,19,7,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 30, ""body_threshold"": 1.1, ""stop_buffer_atr"": 0.1, ""target_rr"": 2.0, ""max_hold_bars"": 72, ""session_fractal_left"": 2, ""session_fractal_right"": 1, ""ltf_fractal_left"": 2, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""london""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 24, ""ema_span"": 89}"
4,-0.001555294901126809,-0.00020436825510683487,-0.007935875908554713,-0.0007055693879411962,-0.020091539940439055,-0.020497900791056695,-0.008618285840722573,45,20,17,"{""pair"": ""XAUUSD"", ""bars_path"": ""models/compare_halfyear/cache/xauusd_bars_5m.csv"", ""out_dir"": ""models/session_poi_xau_tuned/best_run"", ""fee_bps"": 2.0, ""poi_window_bars"": 24, ""body_threshold"": 0.9, ""stop_buffer_atr"": 0.05, ""target_rr"": 2.0, ""max_hold_bars"": 36, ""session_fractal_left"": 1, ""session_fractal_right"": 1, ""ltf_fractal_left"": 1, ""ltf_fractal_right"": 2, ""allowed_sessions"": [""newyork""], ""use_fractal_sweep_poi"": true, ""use_fvg_poi"": true, ""use_bos_entry"": true, ""use_choch_entry"": false, ""use_inversion_entry"": false, ""require_trend_filter"": true, ""trend_lookback_bars"": 18, ""ema_span"": 89}"
