ts,symbol,side,price,quantity,signed_qty,fee,cash_flow,position_qty,avg_cost,realized_pnl_trade,realized_pnl_cum
2024-01-02 13:45:00+00:00,GBPUSD,sell,1.263255,1.0,-1.0,0.0,1.263255,-1.0,1.263255,0.0,0.0
2024-01-02 19:45:00+00:00,GBPUSD,buy,1.2621,1.0,1.0,0.0,-1.2621,0.0,0.0,0.0011550000000000171,0.0011550000000000171
2024-01-02 19:55:00+00:00,GBPUSD,sell,1.262025,1.0,-1.0,0.0,1.262025,-1.0,1.262025,0.0,0.0011550000000000171
2024-01-02 20:15:00+00:00,GBPUSD,buy,1.2626535769210312,1.0,1.0,0.0,-1.2626535769210312,0.0,0.0,-0.0006285769210312431,0.000526423078968774
2024-01-02 20:40:00+00:00,GBPUSD,sell,1.262035,1.0,-1.0,0.0,1.262035,-1.0,1.262035,0.0,0.000526423078968774
2024-01-03 00:20:00+00:00,GBPUSD,buy,1.262721427140553,1.0,1.0,0.0,-1.262721427140553,0.0,0.0,-0.0006864271405528921,-0.00016000406158411806
2024-01-03 01:15:00+00:00,GBPUSD,sell,1.2628400000000002,1.0,-1.0,0.0,1.2628400000000002,-1.0,1.2628400000000002,0.0,-0.00016000406158411806
2024-01-03 03:30:00+00:00,GBPUSD,buy,1.263408740149006,1.0,1.0,0.0,-1.263408740149006,0.0,0.0,-0.0005687401490057642,-0.0007287442105898823
2024-01-03 04:45:00+00:00,GBPUSD,sell,1.263855,1.0,-1.0,0.0,1.263855,-1.0,1.263855,0.0,-0.0007287442105898823
2024-01-03 05:55:00+00:00,GBPUSD,buy,1.263155949391554,1.0,1.0,0.0,-1.263155949391554,0.0,0.0,0.0006990506084458836,-2.9693602143998632e-05
2024-01-03 07:10:00+00:00,GBPUSD,sell,1.26318,1.0,-1.0,0.0,1.26318,-1.0,1.26318,0.0,-2.9693602143998632e-05
2024-01-03 08:10:00+00:00,GBPUSD,buy,1.264708630423082,1.0,1.0,0.0,-1.264708630423082,0.0,0.0,-0.0015286304230819336,-0.0015583240252259323
2024-01-03 09:50:00+00:00,GBPUSD,sell,1.262815,1.0,-1.0,0.0,1.262815,-1.0,1.262815,0.0,-0.0015583240252259323
2024-01-03 12:20:00+00:00,GBPUSD,buy,1.2638352667803008,1.0,1.0,0.0,-1.2638352667803008,0.0,0.0,-0.0010202667803007603,-0.0025785908055266926
2024-01-03 12:35:00+00:00,GBPUSD,sell,1.26214,1.0,-1.0,0.0,1.26214,-1.0,1.26214,0.0,-0.0025785908055266926
2024-01-03 13:35:00+00:00,GBPUSD,buy,1.2643058944264198,1.0,1.0,0.0,-1.2643058944264198,0.0,0.0,-0.00216589442641979,-0.0047444852319464825
2024-01-03 14:10:00+00:00,GBPUSD,sell,1.262025,1.0,-1.0,0.0,1.262025,-1.0,1.262025,0.0,-0.0047444852319464825
2024-01-03 14:45:00+00:00,GBPUSD,buy,1.2632512475370774,1.0,1.0,0.0,-1.2632512475370774,0.0,0.0,-0.0012262475370774517,-0.005970732769023934
2024-01-03 21:45:00+00:00,GBPUSD,sell,1.26629,1.0,-1.0,0.0,1.26629,-1.0,1.26629,0.0,-0.005970732769023934
2024-01-03 22:15:00+00:00,GBPUSD,buy,1.2669085566450726,1.0,1.0,0.0,-1.2669085566450726,0.0,0.0,-0.0006185566450727098,-0.006589289414096644
2024-01-04 03:10:00+00:00,GBPUSD,buy,1.266415,1.0,1.0,0.0,-1.266415,1.0,1.266415,0.0,-0.006589289414096644
2024-01-04 06:55:00+00:00,GBPUSD,sell,1.2678944362698574,1.0,-1.0,0.0,1.2678944362698574,0.0,0.0,0.0014794362698573593,-0.005109853144239285
2024-01-04 08:45:00+00:00,GBPUSD,buy,1.269775,1.0,1.0,0.0,-1.269775,1.0,1.269775,0.0,-0.005109853144239285
2024-01-04 10:25:00+00:00,GBPUSD,sell,1.2729656149811968,1.0,-1.0,0.0,1.2729656149811968,0.0,0.0,0.00319061498119666,-0.0019192381630426247
2024-01-04 10:40:00+00:00,GBPUSD,sell,1.271065,1.0,-1.0,0.0,1.271065,-1.0,1.271065,0.0,-0.0019192381630426247
2024-01-04 14:00:00+00:00,GBPUSD,buy,1.266996169573438,1.0,1.0,0.0,-1.266996169573438,0.0,0.0,0.00406883042656192,0.0021495922635192954
2024-01-04 17:05:00+00:00,GBPUSD,buy,1.269405,1.0,1.0,0.0,-1.269405,1.0,1.269405,0.0,0.0021495922635192954
2024-01-04 17:20:00+00:00,GBPUSD,sell,1.2688076720302204,1.0,-1.0,0.0,1.2688076720302204,0.0,0.0,-0.0005973279697795153,0.0015522642937397801
2024-01-04 21:05:00+00:00,GBPUSD,buy,1.268555,1.0,1.0,0.0,-1.268555,1.0,1.268555,0.0,0.0015522642937397801
2024-01-05 03:05:00+00:00,GBPUSD,sell,1.268765,1.0,-1.0,0.0,1.268765,0.0,0.0,0.00020999999999982144,0.0017622642937396016
2024-01-05 11:45:00+00:00,GBPUSD,buy,1.266055,1.0,1.0,0.0,-1.266055,1.0,1.266055,0.0,0.0017622642937396016
2024-01-05 13:30:00+00:00,GBPUSD,sell,1.2651402631392838,1.0,-1.0,0.0,1.2651402631392838,0.0,0.0,-0.0009147368607160811,0.0008475274330235205
2024-01-05 13:50:00+00:00,GBPUSD,buy,1.266235,1.0,1.0,0.0,-1.266235,1.0,1.266235,0.0,0.0008475274330235205
2024-01-05 15:10:00+00:00,GBPUSD,sell,1.276883297122304,1.0,-1.0,0.0,1.276883297122304,0.0,0.0,0.010648297122304085,0.011495824555327605
2024-01-05 16:00:00+00:00,GBPUSD,sell,1.27418,1.0,-1.0,0.0,1.27418,-1.0,1.27418,0.0,0.011495824555327605
2024-01-07 22:00:00+00:00,GBPUSD,buy,1.27204,1.0,1.0,0.0,-1.27204,0.0,0.0,0.0021400000000000308,0.013635824555327636
2024-01-07 22:05:00+00:00,GBPUSD,sell,1.271665,1.0,-1.0,0.0,1.271665,-1.0,1.271665,0.0,0.013635824555327636
2024-01-08 00:20:00+00:00,GBPUSD,buy,1.2720950809245313,1.0,1.0,0.0,-1.2720950809245313,0.0,0.0,-0.0004300809245312287,0.013205743630796407
2024-01-08 01:50:00+00:00,GBPUSD,sell,1.272045,1.0,-1.0,0.0,1.272045,-1.0,1.272045,0.0,0.013205743630796407
2024-01-08 03:40:00+00:00,GBPUSD,buy,1.2703876120635698,1.0,1.0,0.0,-1.2703876120635698,0.0,0.0,0.0016573879364303323,0.01486313156722674
2024-01-08 04:25:00+00:00,GBPUSD,buy,1.270295,1.0,1.0,0.0,-1.270295,1.0,1.270295,0.0,0.01486313156722674
2024-01-08 06:45:00+00:00,GBPUSD,sell,1.2713118897328153,1.0,-1.0,0.0,1.2713118897328153,0.0,0.0,0.0010168897328153292,0.01588002130004207
2024-01-08 08:35:00+00:00,GBPUSD,sell,1.2693500000000002,1.0,-1.0,0.0,1.2693500000000002,-1.0,1.2693500000000002,0.0,0.01588002130004207
2024-01-08 09:30:00+00:00,GBPUSD,buy,1.267357476408845,1.0,1.0,0.0,-1.267357476408845,0.0,0.0,0.001992523591155093,0.017872544891197162
2024-01-08 09:40:00+00:00,GBPUSD,buy,1.26843,1.0,1.0,0.0,-1.26843,1.0,1.26843,0.0,0.017872544891197162
2024-01-08 10:30:00+00:00,GBPUSD,sell,1.2704189045285457,1.0,-1.0,0.0,1.2704189045285457,0.0,0.0,0.0019889045285457208,0.019861449419742883
2024-01-08 13:00:00+00:00,GBPUSD,buy,1.270975,1.0,1.0,0.0,-1.270975,1.0,1.270975,0.0,0.019861449419742883
2024-01-08 13:10:00+00:00,GBPUSD,sell,1.2702755101040468,1.0,-1.0,0.0,1.2702755101040468,0.0,0.0,-0.0006994898959531426,0.01916195952378974
2024-01-08 13:30:00+00:00,GBPUSD,buy,1.2715999999999998,1.0,1.0,0.0,-1.2715999999999998,1.0,1.2715999999999998,0.0,0.01916195952378974
2024-01-08 15:15:00+00:00,GBPUSD,sell,1.2738775608464317,1.0,-1.0,0.0,1.2738775608464317,0.0,0.0,0.0022775608464318253,0.021439520370221565
2024-01-08 17:15:00+00:00,GBPUSD,sell,1.275735,1.0,-1.0,0.0,1.275735,-1.0,1.275735,0.0,0.021439520370221565
2024-01-08 23:15:00+00:00,GBPUSD,buy,1.27471,1.0,1.0,0.0,-1.27471,0.0,0.0,0.0010250000000000536,0.02246452037022162
2024-01-09 01:35:00+00:00,GBPUSD,sell,1.27507,1.0,-1.0,0.0,1.27507,-1.0,1.27507,0.0,0.02246452037022162
2024-01-09 01:50:00+00:00,GBPUSD,buy,1.275878480769228,1.0,1.0,0.0,-1.275878480769228,0.0,0.0,-0.000808480769228126,0.021656039600993493
2024-01-09 02:20:00+00:00,GBPUSD,buy,1.27643,1.0,1.0,0.0,-1.27643,1.0,1.27643,0.0,0.021656039600993493
2024-01-09 04:15:00+00:00,GBPUSD,sell,1.274952798992872,1.0,-1.0,0.0,1.274952798992872,0.0,0.0,-0.001477201007128004,0.02017883859386549
2024-01-09 04:50:00+00:00,GBPUSD,buy,1.2750499999999998,1.0,1.0,0.0,-1.2750499999999998,1.0,1.2750499999999998,0.0,0.02017883859386549
2024-01-09 05:10:00+00:00,GBPUSD,sell,1.2745008800954176,1.0,-1.0,0.0,1.2745008800954176,0.0,0.0,-0.0005491199045821737,0.019629718689283315
2024-01-09 06:25:00+00:00,GBPUSD,sell,1.2739699999999998,1.0,-1.0,0.0,1.2739699999999998,-1.0,1.2739699999999998,0.0,0.019629718689283315
2024-01-09 07:15:00+00:00,GBPUSD,buy,1.2746678027877922,1.0,1.0,0.0,-1.2746678027877922,0.0,0.0,-0.000697802787792412,0.018931915901490903
2024-01-09 07:30:00+00:00,GBPUSD,buy,1.27494,1.0,1.0,0.0,-1.27494,1.0,1.27494,0.0,0.018931915901490903
2024-01-09 08:00:00+00:00,GBPUSD,sell,1.274189423096907,1.0,-1.0,0.0,1.274189423096907,0.0,0.0,-0.000750576903092881,0.018181338998398022
2024-01-09 08:25:00+00:00,GBPUSD,sell,1.272955,1.0,-1.0,0.0,1.272955,-1.0,1.272955,0.0,0.018181338998398022
2024-01-09 14:25:00+00:00,GBPUSD,buy,1.2724449999999998,1.0,1.0,0.0,-1.2724449999999998,0.0,0.0,0.0005100000000002325,0.018691338998398255
2024-01-09 15:00:00+00:00,GBPUSD,sell,1.2715800000000002,1.0,-1.0,0.0,1.2715800000000002,-1.0,1.2715800000000002,0.0,0.018691338998398255
2024-01-09 16:05:00+00:00,GBPUSD,buy,1.2690147607417264,1.0,1.0,0.0,-1.2690147607417264,0.0,0.0,0.002565239258273788,0.021256578256672043
2024-01-09 16:30:00+00:00,GBPUSD,buy,1.27104,1.0,1.0,0.0,-1.27104,1.0,1.27104,0.0,0.021256578256672043
2024-01-09 22:30:00+00:00,GBPUSD,sell,1.2710849999999998,1.0,-1.0,0.0,1.2710849999999998,0.0,0.0,4.4999999999850715e-05,0.021301578256671894
2024-01-10 01:15:00+00:00,GBPUSD,buy,1.271185,1.0,1.0,0.0,-1.271185,1.0,1.271185,0.0,0.021301578256671894
2024-01-10 01:25:00+00:00,GBPUSD,sell,1.2708617675430618,1.0,-1.0,0.0,1.2708617675430618,0.0,0.0,-0.0003232324569382161,0.020978345799733678
2024-01-10 01:35:00+00:00,GBPUSD,buy,1.271475,1.0,1.0,0.0,-1.271475,1.0,1.271475,0.0,0.020978345799733678
2024-01-10 02:30:00+00:00,GBPUSD,sell,1.2707721220799484,1.0,-1.0,0.0,1.2707721220799484,0.0,0.0,-0.0007028779200515256,0.020275467879682152
2024-01-10 03:20:00+00:00,GBPUSD,buy,1.270565,1.0,1.0,0.0,-1.270565,1.0,1.270565,0.0,0.020275467879682152
2024-01-10 03:55:00+00:00,GBPUSD,sell,1.2699987569648694,1.0,-1.0,0.0,1.2699987569648694,0.0,0.0,-0.0005662430351305314,0.01970922484455162
2024-01-10 04:35:00+00:00,GBPUSD,buy,1.270185,1.0,1.0,0.0,-1.270185,1.0,1.270185,0.0,0.01970922484455162
2024-01-10 06:10:00+00:00,GBPUSD,sell,1.269708227365697,1.0,-1.0,0.0,1.269708227365697,0.0,0.0,-0.0004767726343029022,0.01923245221024872
2024-01-10 07:15:00+00:00,GBPUSD,buy,1.269535,1.0,1.0,0.0,-1.269535,1.0,1.269535,0.0,0.01923245221024872
2024-01-10 08:55:00+00:00,GBPUSD,sell,1.271451149648101,1.0,-1.0,0.0,1.271451149648101,0.0,0.0,0.0019161496481008289,0.021148601858349547
2024-01-10 10:30:00+00:00,GBPUSD,sell,1.272555,1.0,-1.0,0.0,1.272555,-1.0,1.272555,0.0,0.021148601858349547
2024-01-10 13:10:00+00:00,GBPUSD,buy,1.273354024107708,1.0,1.0,0.0,-1.273354024107708,0.0,0.0,-0.0007990241077078242,0.020349577750641723
