kpi,value,comment
n_trades,1824.0,Количество учетных проводок
n_symbols,1.0,Количество инструментов
cash_balance,0.028977744822045404,Итоговый денежный результат
market_value,0.0,Рыночная стоимость открытых позиций
equity_estimate,0.028977744822045404,Оценка собственных средств
realized_pnl_total,0.0289777448220343,Реализованный финансовый результат
unrealized_pnl_total,0.0,Нереализованный финансовый результат
reconciliation_mismatches,0.0,Количество расхождений при сверке
