ts,symbol,side,cash_flow,cash_balance
2024-01-02 13:45:00+00:00,GBPUSD,sell,1.263255,1.263255
2024-01-02 19:45:00+00:00,GBPUSD,buy,-1.2621,0.0011550000000000171
2024-01-02 19:55:00+00:00,GBPUSD,sell,1.262025,1.26318
2024-01-02 20:15:00+00:00,GBPUSD,buy,-1.2626535769210312,0.000526423078968774
2024-01-02 20:40:00+00:00,GBPUSD,sell,1.262035,1.2625614230789688
2024-01-03 00:20:00+00:00,GBPUSD,buy,-1.262721427140553,-0.00016000406158411806
2024-01-03 01:15:00+00:00,GBPUSD,sell,1.2628400000000002,1.262679995938416
2024-01-03 03:30:00+00:00,GBPUSD,buy,-1.263408740149006,-0.0007287442105898823
2024-01-03 04:45:00+00:00,GBPUSD,sell,1.263855,1.26312625578941
2024-01-03 05:55:00+00:00,GBPUSD,buy,-1.263155949391554,-2.9693602143998632e-05
2024-01-03 07:10:00+00:00,GBPUSD,sell,1.26318,1.263150306397856
2024-01-03 08:10:00+00:00,GBPUSD,buy,-1.264708630423082,-0.0015583240252259323
2024-01-03 09:50:00+00:00,GBPUSD,sell,1.262815,1.261256675974774
2024-01-03 12:20:00+00:00,GBPUSD,buy,-1.2638352667803008,-0.0025785908055266926
2024-01-03 12:35:00+00:00,GBPUSD,sell,1.26214,1.2595614091944733
2024-01-03 13:35:00+00:00,GBPUSD,buy,-1.2643058944264198,-0.0047444852319464825
2024-01-03 14:10:00+00:00,GBPUSD,sell,1.262025,1.2572805147680535
2024-01-03 14:45:00+00:00,GBPUSD,buy,-1.2632512475370774,-0.005970732769023934
2024-01-03 21:45:00+00:00,GBPUSD,sell,1.26629,1.260319267230976
2024-01-03 22:15:00+00:00,GBPUSD,buy,-1.2669085566450726,-0.006589289414096644
2024-01-04 03:10:00+00:00,GBPUSD,buy,-1.266415,-1.2730042894140967
2024-01-04 06:55:00+00:00,GBPUSD,sell,1.2678944362698574,-0.005109853144239285
2024-01-04 08:45:00+00:00,GBPUSD,buy,-1.269775,-1.2748848531442394
2024-01-04 10:25:00+00:00,GBPUSD,sell,1.2729656149811968,-0.0019192381630426247
2024-01-04 10:40:00+00:00,GBPUSD,sell,1.271065,1.2691457618369573
2024-01-04 14:00:00+00:00,GBPUSD,buy,-1.266996169573438,0.0021495922635192954
2024-01-04 17:05:00+00:00,GBPUSD,buy,-1.269405,-1.2672554077364806
2024-01-04 17:20:00+00:00,GBPUSD,sell,1.2688076720302204,0.0015522642937397801
2024-01-04 21:05:00+00:00,GBPUSD,buy,-1.268555,-1.2670027357062603
2024-01-05 03:05:00+00:00,GBPUSD,sell,1.268765,0.0017622642937396016
2024-01-05 11:45:00+00:00,GBPUSD,buy,-1.266055,-1.2642927357062603
2024-01-05 13:30:00+00:00,GBPUSD,sell,1.2651402631392838,0.0008475274330235205
2024-01-05 13:50:00+00:00,GBPUSD,buy,-1.266235,-1.2653874725669765
2024-01-05 15:10:00+00:00,GBPUSD,sell,1.276883297122304,0.011495824555327605
2024-01-05 16:00:00+00:00,GBPUSD,sell,1.27418,1.2856758245553277
2024-01-07 22:00:00+00:00,GBPUSD,buy,-1.27204,0.013635824555327636
2024-01-07 22:05:00+00:00,GBPUSD,sell,1.271665,1.2853008245553277
2024-01-08 00:20:00+00:00,GBPUSD,buy,-1.2720950809245313,0.013205743630796407
2024-01-08 01:50:00+00:00,GBPUSD,sell,1.272045,1.2852507436307965
2024-01-08 03:40:00+00:00,GBPUSD,buy,-1.2703876120635698,0.01486313156722674
2024-01-08 04:25:00+00:00,GBPUSD,buy,-1.270295,-1.2554318684327732
2024-01-08 06:45:00+00:00,GBPUSD,sell,1.2713118897328153,0.01588002130004207
