kpi,value,comment
n_trades,530.0,Количество учетных проводок
n_symbols,1.0,Количество инструментов
cash_balance,2.601676295121994,Итоговый денежный результат
market_value,0.0,Рыночная стоимость открытых позиций
equity_estimate,2.601676295121994,Оценка собственных средств
realized_pnl_total,2.6016762951219903,Реализованный финансовый результат
unrealized_pnl_total,0.0,Нереализованный финансовый результат
reconciliation_mismatches,0.0,Количество расхождений при сверке
