entry_ts,exit_ts,side,entry,stop,exit_price,exit_reason,p_long,p_short,p_big,gross_ret,net_ret,week_start
2024-01-16 14:40:00+00:00,2024-01-16 17:30:00+00:00,long,1.264625,1.2629573098766922,1.2629573098766922,stop,0.9575082063674927,0.007180842105299234,0.9575082063674927,-0.001318723039088976,-0.001418723039088976,2024-01-15 00:00:00+00:00
2024-01-18 14:20:00+00:00,2024-01-18 17:20:00+00:00,long,1.26634,1.2642364649504672,1.268385,time,0.9105460047721863,0.0034119903575628996,0.9105460047721863,0.0016148901558823425,0.0015148901558823425,2024-01-15 00:00:00+00:00
2024-01-19 14:55:00+00:00,2024-01-19 15:10:00+00:00,long,1.267375,1.2663043859126784,1.2663043859126784,stop,0.7379602193832397,0.014950779266655445,0.7379602193832397,-0.0008447492552098312,-0.0009447492552098313,2024-01-15 00:00:00+00:00
2024-01-19 15:35:00+00:00,2024-01-19 18:35:00+00:00,long,1.267,1.265521370497604,1.26892,time,0.501713216304779,0.006152555346488953,0.501713216304779,0.0015153906866616218,0.0014153906866616218,2024-01-15 00:00:00+00:00
2024-01-24 11:00:00+00:00,2024-01-24 13:30:00+00:00,short,1.2749899999999998,1.2760185047982098,1.2760185047982098,stop,0.0014821779914200306,0.9747592806816101,0.9747592806816101,-0.0008066767568450928,-0.0009066767568450928,2024-01-22 00:00:00+00:00
2024-01-24 14:35:00+00:00,2024-01-24 17:35:00+00:00,short,1.276525,1.2776513525129252,1.27493,time,0.0014417539350688457,0.9646795988082886,0.9646795988082886,0.0012494859090107502,0.0011494859090107501,2024-01-22 00:00:00+00:00
2024-01-26 11:40:00+00:00,2024-01-26 13:30:00+00:00,short,1.2741600000000002,1.275051321613042,1.275051321613042,stop,0.0024757818318903446,0.9182711243629456,0.9182711243629456,-0.0006995366461368668,-0.0007995366461368669,2024-01-22 00:00:00+00:00
2024-01-26 14:35:00+00:00,2024-01-26 17:35:00+00:00,short,1.27432,1.2757219900869705,1.270865,time,0.003888481529429555,0.8846431374549866,0.8846431374549866,0.002711249921526715,0.002611249921526715,2024-01-22 00:00:00+00:00
2024-02-02 05:40:00+00:00,2024-02-02 07:20:00+00:00,short,1.27503,1.2754103911772083,1.2754103911772083,stop,0.01149802841246128,0.9096114635467529,0.9096114635467529,-0.0002983390015984799,-0.0003983390015984799,2024-01-29 00:00:00+00:00
2024-02-02 13:05:00+00:00,2024-02-02 13:30:00+00:00,short,1.2764,1.2770693216932576,1.2739540748911278,target,0.016776198521256447,0.6695355176925659,0.6695355176925659,0.0019162684964526555,0.0018162684964526555,2024-01-29 00:00:00+00:00
