,equity
2024-05-23 10:25:00+00:00,1.0010766165948268
2024-05-23 12:55:00+00:00,1.0000977242729012
2024-05-23 13:35:00+00:00,1.002657296081996
2024-05-24 06:35:00+00:00,1.0026651947841025
2024-05-24 06:55:00+00:00,1.0048274304189146
2024-05-24 17:05:00+00:00,1.0052219739578592
2024-05-27 02:10:00+00:00,1.0056519302248266
2024-05-27 09:00:00+00:00,1.0064844398754407
2024-05-28 05:50:00+00:00,1.0062087220086182
2024-05-28 10:00:00+00:00,1.006527665839262
2024-05-28 11:00:00+00:00,1.005972543327436
2024-05-29 01:10:00+00:00,1.0055703719557885
2024-05-29 01:40:00+00:00,1.0053741191590688
2024-05-29 03:00:00+00:00,1.0052062108346873
2024-05-29 06:10:00+00:00,1.0055726731791403
2024-05-29 06:30:00+00:00,1.0045166725348975
2024-05-29 17:00:00+00:00,1.0050145272278688
2024-05-30 04:45:00+00:00,1.0048244909966024
2024-05-30 05:40:00+00:00,1.004648371835054
2024-05-30 05:50:00+00:00,1.0044365532359036
2024-05-30 07:00:00+00:00,1.0047847512602754
2024-05-30 07:10:00+00:00,1.005745874137299
2024-05-31 09:00:00+00:00,1.0065646438591564
2024-05-31 09:45:00+00:00,1.0093293228512568
2024-05-31 15:00:00+00:00,1.0093293228512568
2024-06-03 03:00:00+00:00,1.0099866239041762
2024-06-03 06:00:00+00:00,1.0097844410468908
2024-06-03 06:20:00+00:00,1.0095521347809322
2024-06-03 06:35:00+00:00,1.0092945973933163
2024-06-03 10:20:00+00:00,1.0051115156551391
2024-06-04 03:00:00+00:00,1.0058020847288038
2024-06-04 13:55:00+00:00,1.003927153586207
2024-06-05 05:45:00+00:00,1.003699178600956
2024-06-05 06:20:00+00:00,1.0048273633340035
2024-06-05 07:30:00+00:00,1.0037738667888583
2024-06-05 14:40:00+00:00,1.00466937455255
2024-06-05 15:05:00+00:00,1.006845440056447
2024-06-05 21:00:00+00:00,1.0072666253615719
2024-06-06 04:55:00+00:00,1.006628975331449
2024-06-06 12:55:00+00:00,1.005640358095637
2024-06-06 13:20:00+00:00,1.0067822363409298
2024-06-07 06:15:00+00:00,1.0073295311322719
2024-06-07 06:50:00+00:00,1.0072862303579724
2024-06-07 12:00:00+00:00,1.0061651702990366
2024-06-07 12:35:00+00:00,1.0074640898201193
2024-06-10 06:20:00+00:00,1.0076820132740616
2024-06-10 06:25:00+00:00,1.0091250646934506
2024-06-10 11:20:00+00:00,1.0104233500711117
2024-06-10 12:35:00+00:00,1.010066029436509
2024-06-10 16:30:00+00:00,1.009732857574133
2024-06-10 18:00:00+00:00,1.0096813086264005
2024-06-11 06:00:00+00:00,1.0097884176761134
2024-06-11 06:30:00+00:00,1.0078945954039644
2024-06-11 10:05:00+00:00,1.0052419082931965
2024-06-11 16:10:00+00:00,1.0070509558493688
2024-06-11 20:55:00+00:00,1.0065569120598525
2024-06-12 01:50:00+00:00,1.0069558644625716
2024-06-12 07:05:00+00:00,1.007268037574678
2024-06-12 07:40:00+00:00,1.0088149755815448
2024-06-13 08:10:00+00:00,1.0088189192381904
2024-06-13 08:20:00+00:00,1.007068537832691
2024-06-13 12:05:00+00:00,1.009671444511509
2024-06-13 12:30:00+00:00,1.0062572756610237
2024-06-13 15:20:00+00:00,1.005689448211545
2024-06-13 16:35:00+00:00,1.0052793888434102
2024-06-13 17:00:00+00:00,1.0062256380524308
2024-06-14 02:15:00+00:00,1.007838438232556
2024-06-17 02:10:00+00:00,1.0073259073018719
2024-06-17 10:40:00+00:00,1.0084076080921907
2024-06-18 02:00:00+00:00,1.0079550157011572
2024-06-18 10:05:00+00:00,1.0086941517166452
2024-06-18 12:00:00+00:00,1.0082484818533268
2024-06-18 12:25:00+00:00,1.0105835782564276
2024-06-18 13:55:00+00:00,1.0097688511099143
2024-06-19 01:05:00+00:00,1.0103092807024174
2024-06-19 02:35:00+00:00,1.0111000314747152
2024-06-19 06:05:00+00:00,1.0128594170977099
2024-06-19 15:20:00+00:00,1.0134326053222902
2024-06-19 19:00:00+00:00,1.0131178252018984
2024-06-20 00:00:00+00:00,1.0132572436243081
2024-06-21 06:35:00+00:00,1.0137174258536352
2024-06-21 07:05:00+00:00,1.0147192337867799
2024-06-21 15:00:00+00:00,1.0164550741448934
2024-06-21 20:20:00+00:00,1.017383108808196
2024-06-24 01:20:00+00:00,1.01718420646617
2024-06-24 03:10:00+00:00,1.0175020425845864
2024-06-24 05:00:00+00:00,1.0183788978474604
2024-06-24 21:50:00+00:00,1.0182705314864606
2024-06-25 01:55:00+00:00,1.0185755374786765
2024-06-25 06:40:00+00:00,1.0192779784524304
2024-06-25 09:05:00+00:00,1.020317652507618
2024-06-25 11:45:00+00:00,1.019988432376071
2024-06-25 15:00:00+00:00,1.0195574759264838
2024-06-25 21:50:00+00:00,1.0195293461013213
2024-06-26 05:00:00+00:00,1.0193525405108166
2024-06-26 05:50:00+00:00,1.0191994982648418
2024-06-26 19:35:00+00:00,1.0194660422279649
2024-06-27 12:00:00+00:00,1.020244075942821
2024-06-27 12:30:00+00:00,1.0202924533899065
2024-06-27 12:35:00+00:00,1.0194060168789307
2024-06-27 17:45:00+00:00,1.0199217597195427
2024-06-28 00:20:00+00:00,1.020506558741874
2024-06-28 00:50:00+00:00,1.0213144296406922
2024-06-28 07:00:00+00:00,1.0204172422930178
2024-06-28 08:25:00+00:00,1.0196460067976179
2024-06-28 11:05:00+00:00,1.0191947218932436
2024-06-28 13:35:00+00:00,1.0177473457276407
2024-06-28 14:40:00+00:00,1.0187466027884804
