pair,scenario,htf_rule,base_rule,fee_bps,best_prob_threshold,best_val_score,best_val_total_return,best_val_sharpe,best_val_max_drawdown,best_val_n_trades,test_total_return,test_sharpe,test_max_drawdown,test_n_trades,test_win_rate,test_avg_trade,n_train,n_val,n_test,class_0,class_1,class_2,test_ts_start
EURUSD,1h_5m,1h,5min,1.0,0.8079309401710595,0.012878901158090691,0.012914755182485527,1.907715284474512,-0.002783935054297027,62,-0.007367044687688784,-0.8133088951095849,-0.012616972027289439,72,0.4861111111111111,-0.00010213363824250212,9621,3207,3207,15078,585,468,2024-05-22 18:10:00+00:00
EURUSD,4h_15m,4h,15min,1.0,0.8079309401710595,0.004490743414548441,0.0045129689842429155,0.7009914026772425,-0.004949196077974826,10,0.00013304033537298032,0.045605780054110825,-0.0023286556606309716,9,0.6666666666666666,1.5227528004488788e-05,999,333,334,1566,61,71,2024-05-20 02:00:00+00:00
GBPUSD,1h_5m,1h,5min,1.0,0.5801321323053057,0.0077368688840610675,0.007820544283407393,0.7496587027062885,-0.01081515023715958,72,-0.0009334593809985359,-0.08999690084118073,-0.006954197692052746,71,0.49295774647887325,-1.248032004499865e-05,10024,3341,3343,15635,677,492,2024-05-23 10:05:00+00:00
GBPUSD,4h_15m,4h,15min,1.0,0.648070764044508,0.008558541631727756,0.010698177039659695,4.049986359444429,0.0,8,0.0023665264541727904,0.7147821905880967,-0.0014578468021195735,8,0.75,0.00029611056811042766,1122,374,375,1800,58,45,2024-05-20 16:45:00+00:00
XAUUSD,1h_5m,1h,5min,2.0,0.5801321323053057,0.007658738819622532,0.007803925723630867,0.3944631600472459,-0.018957025096135893,33,-0.04223425853839924,-2.414999816867056,-0.04075667169033739,43,0.3023255813953488,-0.0009994342825788627,8707,2902,2903,14163,272,173,2024-05-27 06:25:00+00:00
XAUUSD,4h_15m,4h,15min,2.0,0.5965447373174767,-0.0005333365586248597,-0.002667484287574573,-1.290805184551845,-0.000300558601248288,2,-0.00026190039986240254,-0.07511350687634909,-0.002298988337207232,3,0.6666666666666666,-8.599617230680113e-05,888,296,297,1462,28,23,2024-05-20 12:30:00+00:00
