,equity
2024-05-28 12:25:00+00:00,0.998459632916473
2024-05-28 12:45:00+00:00,0.9968133673299414
2024-05-29 13:45:00+00:00,0.9965705738959318
2024-05-30 12:10:00+00:00,0.9933007761038627
2024-05-30 12:25:00+00:00,0.9913550489232145
2024-05-31 15:05:00+00:00,0.9956864191251011
2024-06-04 12:10:00+00:00,0.9981298655044514
2024-06-04 13:05:00+00:00,0.9956564835829586
2024-06-04 13:30:00+00:00,0.9980431928810563
2024-06-04 13:55:00+00:00,0.9957728046897409
2024-06-05 12:15:00+00:00,0.9945022183192919
2024-06-06 12:20:00+00:00,0.9942083443093078
2024-06-06 12:35:00+00:00,0.9908807718352758
2024-06-06 13:30:00+00:00,0.9935145949600577
2024-06-07 16:05:00+00:00,0.9915946115579063
2024-06-10 14:10:00+00:00,0.993306920738718
2024-06-10 16:00:00+00:00,0.9928631415882316
2024-06-11 12:55:00+00:00,0.9964886340340233
2024-06-12 18:25:00+00:00,0.9912339013632102
2024-06-12 19:00:00+00:00,0.9874479232079062
2024-06-13 12:15:00+00:00,0.9920896362405239
2024-06-13 12:45:00+00:00,0.9854853451250074
2024-06-13 18:00:00+00:00,0.9837225046353729
2024-06-14 15:05:00+00:00,0.985006280875076
2024-06-17 13:35:00+00:00,0.983256751225751
2024-06-17 15:00:00+00:00,0.9858905592364584
2024-06-17 15:40:00+00:00,0.9818324824883315
2024-06-18 14:20:00+00:00,0.9801633311490321
2024-06-18 15:20:00+00:00,0.9782087266275483
2024-06-18 15:55:00+00:00,0.9768854976276155
2024-06-19 12:45:00+00:00,0.9751767652665029
2024-06-21 12:05:00+00:00,0.9772225288569182
2024-06-24 12:40:00+00:00,0.9738203764125649
2024-06-24 13:35:00+00:00,0.9730347871279164
2024-06-24 19:15:00+00:00,0.9711548255247848
2024-06-25 12:35:00+00:00,0.972152352972899
2024-06-25 13:10:00+00:00,0.9696612822536188
2024-06-25 15:55:00+00:00,0.9654742528839882
2024-06-26 12:10:00+00:00,0.9604281983511198
2024-06-26 18:00:00+00:00,0.9609955927711715
2024-06-27 16:15:00+00:00,0.959950554272893
2024-06-28 14:55:00+00:00,0.961802904823639
2024-06-28 16:15:00+00:00,0.9577657414616008
