ts,symbol,side,price,quantity,signed_qty,fee,cash_flow,position_qty,avg_cost,realized_pnl_trade,realized_pnl_cum
2024-01-02 15:40:00+00:00,EURUSD,sell,1.095265,1.0,-1.0,0.0,1.095265,-1.0,1.095265,0.0,0.0
2024-01-02 21:40:00+00:00,EURUSD,buy,1.0940850000000002,1.0,1.0,0.0,-1.0940850000000002,0.0,0.0,0.0011799999999997368,0.0011799999999997368
2024-01-03 01:15:00+00:00,EURUSD,sell,1.09476,1.0,-1.0,0.0,1.09476,-1.0,1.09476,0.0,0.0011799999999997368
2024-01-03 01:25:00+00:00,EURUSD,buy,1.095117161031243,1.0,1.0,0.0,-1.095117161031243,0.0,0.0,-0.0003571610312429474,0.0008228389687567894
2024-01-03 01:55:00+00:00,EURUSD,sell,1.095145,1.0,-1.0,0.0,1.095145,-1.0,1.095145,0.0,0.0008228389687567894
2024-01-03 03:30:00+00:00,EURUSD,buy,1.0955188047798965,1.0,1.0,0.0,-1.0955188047798965,0.0,0.0,-0.00037380477989645833,0.0004490341888603311
2024-01-03 04:45:00+00:00,EURUSD,sell,1.095945,1.0,-1.0,0.0,1.095945,-1.0,1.095945,0.0,0.0004490341888603311
2024-01-03 04:55:00+00:00,EURUSD,buy,1.0962090804236986,1.0,1.0,0.0,-1.0962090804236986,0.0,0.0,-0.0002640804236986316,0.00018495376516169948
2024-01-03 05:25:00+00:00,EURUSD,sell,1.095885,1.0,-1.0,0.0,1.095885,-1.0,1.095885,0.0,0.00018495376516169948
2024-01-03 05:55:00+00:00,EURUSD,buy,1.0952033788042868,1.0,1.0,0.0,-1.0952033788042868,0.0,0.0,0.0006816211957132445,0.000866574960874944
2024-01-03 07:00:00+00:00,EURUSD,sell,1.0956100000000002,1.0,-1.0,0.0,1.0956100000000002,-1.0,1.0956100000000002,0.0,0.000866574960874944
2024-01-03 07:30:00+00:00,EURUSD,buy,1.096115232436481,1.0,1.0,0.0,-1.096115232436481,0.0,0.0,-0.000505232436480707,0.000361342524394237
2024-01-03 08:20:00+00:00,EURUSD,sell,1.095815,1.0,-1.0,0.0,1.095815,-1.0,1.095815,0.0,0.000361342524394237
2024-01-03 09:15:00+00:00,EURUSD,buy,1.0942263651671364,1.0,1.0,0.0,-1.0942263651671364,0.0,0.0,0.0015886348328635336,0.0019499773572577705
2024-01-03 09:45:00+00:00,EURUSD,sell,1.093665,1.0,-1.0,0.0,1.093665,-1.0,1.093665,0.0,0.0019499773572577705
2024-01-03 15:45:00+00:00,EURUSD,buy,1.0900850000000002,1.0,1.0,0.0,-1.0900850000000002,0.0,0.0,0.0035799999999999166,0.005529977357257687
2024-01-03 17:05:00+00:00,EURUSD,sell,1.090465,1.0,-1.0,0.0,1.090465,-1.0,1.090465,0.0,0.005529977357257687
2024-01-03 19:25:00+00:00,EURUSD,buy,1.09163455946177,1.0,1.0,0.0,-1.09163455946177,0.0,0.0,-0.0011695594617699978,0.004360417895487689
2024-01-04 01:25:00+00:00,EURUSD,sell,1.09193,1.0,-1.0,0.0,1.09193,-1.0,1.09193,0.0,0.004360417895487689
2024-01-04 03:10:00+00:00,EURUSD,buy,1.0923305621951758,1.0,1.0,0.0,-1.0923305621951758,0.0,0.0,-0.00040056219517570213,0.003959855700311987
2024-01-04 05:00:00+00:00,EURUSD,sell,1.092425,1.0,-1.0,0.0,1.092425,-1.0,1.092425,0.0,0.003959855700311987
2024-01-04 06:10:00+00:00,EURUSD,buy,1.092891967695615,1.0,1.0,0.0,-1.092891967695615,0.0,0.0,-0.00046696769561505036,0.003492888004696937
2024-01-04 10:10:00+00:00,EURUSD,sell,1.096245,1.0,-1.0,0.0,1.096245,-1.0,1.096245,0.0,0.003492888004696937
2024-01-04 13:30:00+00:00,EURUSD,buy,1.0941442702997464,1.0,1.0,0.0,-1.0941442702997464,0.0,0.0,0.0021007297002535452,0.005593617704950482
2024-01-04 15:55:00+00:00,EURUSD,sell,1.0955149999999998,1.0,-1.0,0.0,1.0955149999999998,-1.0,1.0955149999999998,0.0,0.005593617704950482
2024-01-04 21:55:00+00:00,EURUSD,buy,1.09444,1.0,1.0,0.0,-1.09444,0.0,0.0,0.001074999999999715,0.006668617704950197
2024-01-05 02:30:00+00:00,EURUSD,sell,1.0950350000000002,1.0,-1.0,0.0,1.0950350000000002,-1.0,1.0950350000000002,0.0,0.006668617704950197
2024-01-05 03:15:00+00:00,EURUSD,buy,1.0943459739482757,1.0,1.0,0.0,-1.0943459739482757,0.0,0.0,0.000689026051724495,0.007357643756674692
2024-01-05 05:50:00+00:00,EURUSD,sell,1.0934849999999998,1.0,-1.0,0.0,1.0934849999999998,-1.0,1.0934849999999998,0.0,0.007357643756674692
2024-01-05 05:55:00+00:00,EURUSD,buy,1.0937102391050004,1.0,1.0,0.0,-1.0937102391050004,0.0,0.0,-0.0002252391050006075,0.007132404651674085
2024-01-05 06:00:00+00:00,EURUSD,sell,1.09338,1.0,-1.0,0.0,1.09338,-1.0,1.09338,0.0,0.007132404651674085
2024-01-05 06:30:00+00:00,EURUSD,buy,1.0927005563667105,1.0,1.0,0.0,-1.0927005563667105,0.0,0.0,0.0006794436332895337,0.007811848284963618
2024-01-05 07:40:00+00:00,EURUSD,sell,1.09244,1.0,-1.0,0.0,1.09244,-1.0,1.09244,0.0,0.007811848284963618
2024-01-05 08:55:00+00:00,EURUSD,buy,1.0905309149869538,1.0,1.0,0.0,-1.0905309149869538,0.0,0.0,0.0019090850130463188,0.009720933298009937
2024-01-05 13:30:00+00:00,EURUSD,sell,1.0897800000000002,1.0,-1.0,0.0,1.0897800000000002,-1.0,1.0897800000000002,0.0,0.009720933298009937
2024-01-05 14:00:00+00:00,EURUSD,buy,1.0929324660516528,1.0,1.0,0.0,-1.0929324660516528,0.0,0.0,-0.003152466051652647,0.00656846724635729
2024-01-05 16:00:00+00:00,EURUSD,sell,1.09694,1.0,-1.0,0.0,1.09694,-1.0,1.09694,0.0,0.00656846724635729
