kpi,value,comment
n_trades,1948.0,Количество учетных проводок
n_symbols,1.0,Количество инструментов
cash_balance,-0.013641972767022503,Итоговый денежный результат
market_value,0.0,Рыночная стоимость открытых позиций
equity_estimate,-0.013641972767022503,Оценка собственных средств
realized_pnl_total,-0.013641972767018062,Реализованный финансовый результат
unrealized_pnl_total,0.0,Нереализованный финансовый результат
reconciliation_mismatches,0.0,Количество расхождений при сверке
