entry_idx,exit_idx,entry_ts,exit_ts,side,entry,stop,target,exit_price,exit_reason,gross_ret,net_ret,risk_pct,r_multiple
212,284,2024-01-02 15:40:00+00:00,2024-01-02 21:40:00+00:00,short,1.095265,1.0962835811102025,1.0932278377795948,1.0940850000000002,time,0.0010773648386460666,0.0009773648386460665,0.0009299859944420644,1.0509457598675782
327,329,2024-01-03 01:15:00+00:00,2024-01-03 01:25:00+00:00,short,1.09476,1.095117161031243,1.094045677937514,1.095117161031243,stop,-0.00032624596372077264,-0.00042624596372077263,0.0003262459637207675,-1.3065171981072463
335,354,2024-01-03 01:55:00+00:00,2024-01-03 03:30:00+00:00,short,1.095145,1.0955188047798965,1.0943973904402071,1.0955188047798965,stop,-0.0003413290293947657,-0.0004413290293947657,0.00034132902939469964,-1.2929724403588818
369,371,2024-01-03 04:45:00+00:00,2024-01-03 04:55:00+00:00,short,1.095945,1.0962090804236986,1.0954168391526027,1.0962090804236986,stop,-0.00024096138373597142,-0.0003409613837359714,0.000240961383736074,-1.4150042510314582
377,383,2024-01-03 05:25:00+00:00,2024-01-03 05:55:00+00:00,short,1.095885,1.0962258105978566,1.0952033788042868,1.0952033788042868,target,0.0006219824121265205,0.0005219824121265205,0.0003109912060632478,1.6784474939201814
396,402,2024-01-03 07:00:00+00:00,2024-01-03 07:30:00+00:00,short,1.0956100000000002,1.0961152324364807,1.0945995351270392,1.0961152324364807,stop,-0.00046114259314955497,-0.000561142593149555,0.0004611425931494646,-1.2168526617770612
412,423,2024-01-03 08:20:00+00:00,2024-01-03 09:15:00+00:00,short,1.095815,1.0966093174164318,1.0942263651671364,1.0942263651671364,target,0.001449729044467829,0.001349729044467829,0.0007248645222339234,1.8620431835263835
429,501,2024-01-03 09:45:00+00:00,2024-01-03 15:45:00+00:00,short,1.093665,1.0957042700459343,1.0895864599081317,1.0900850000000002,time,0.003273397246871701,0.003173397246871701,0.0018646203782092163,1.7018999053402686
517,545,2024-01-03 17:05:00+00:00,2024-01-03 19:25:00+00:00,short,1.090465,1.09163455946177,1.08812588107646,1.09163455946177,stop,-0.0010725327835097165,-0.0011725327835097165,0.001072532783509785,-1.093237242202939
617,638,2024-01-04 01:25:00+00:00,2024-01-04 03:10:00+00:00,short,1.09193,1.0923305621951758,1.0911288756096487,1.0923305621951758,stop,-0.00036683871234943766,-0.00046683871234943765,0.00036683871234941993,-1.2725993614113624
660,674,2024-01-04 05:00:00+00:00,2024-01-04 06:10:00+00:00,short,1.092425,1.092891967695615,1.0914910646087699,1.092891967695615,stop,-0.00042745973006397264,-0.0005274597300639727,0.0004274597300638949,-1.2339401626234827
722,762,2024-01-04 10:10:00+00:00,2024-01-04 13:30:00+00:00,short,1.096245,1.0972953648501267,1.0941442702997464,1.0941442702997464,target,0.001916295810018287,0.001816295810018287,0.0009581479050091656,1.8956319777219368
791,863,2024-01-04 15:55:00+00:00,2024-01-04 21:55:00+00:00,short,1.0955149999999998,1.0966137047531546,1.0933175904936903,1.09444,time,0.0009812736475536266,0.0008812736475536265,0.0010029116471748601,0.8787151382251912
918,927,2024-01-05 02:30:00+00:00,2024-01-05 03:15:00+00:00,short,1.0950350000000002,1.0953795130258626,1.0943459739482755,1.0943459739482755,target,0.0006292274235295547,0.0005292274235295547,0.0003146137117647915,1.6821498938452522
958,959,2024-01-05 05:50:00+00:00,2024-01-05 05:55:00+00:00,short,1.0934849999999998,1.0937102391050004,1.0930345217899986,1.0937102391050004,stop,-0.0002059828026910182,-0.0003059828026910182,0.00020598280269103604,-1.4854774146582508
960,966,2024-01-05 06:00:00+00:00,2024-01-05 06:30:00+00:00,short,1.09338,1.0937197218166448,1.0927005563667105,1.0927005563667105,target,0.0006214158236748091,0.000521415823674809,0.00031070791183739126,1.6781543119170306
980,995,2024-01-05 07:40:00+00:00,2024-01-05 08:55:00+00:00,short,1.09244,1.0933945425065232,1.0905309149869538,1.0905309149869538,target,0.00174754221105633,0.0016475422110563299,0.0008737711055281383,1.8855535491471114
