ts,symbol,side,quantity,price,fee
2024-01-03 16:35:00+00:00,XAUUSD,sell,1.0,20.33145,0.0
2024-01-03 18:45:00+00:00,XAUUSD,buy,1.0,20.361451676878858,0.0
2024-01-04 11:40:00+00:00,XAUUSD,sell,1.0,20.47295,0.0
2024-01-04 12:00:00+00:00,XAUUSD,buy,1.0,20.449057037378733,0.0
2024-01-05 17:30:00+00:00,XAUUSD,sell,1.0,20.4068,0.0
2024-01-05 18:40:00+00:00,XAUUSD,buy,1.0,20.4601574595755,0.0
2024-01-12 18:10:00+00:00,XAUUSD,buy,1.0,20.45555,0.0
2024-01-15 01:10:00+00:00,XAUUSD,sell,1.0,20.4833,0.0
2024-01-16 10:25:00+00:00,XAUUSD,sell,1.0,20.4004,0.0
2024-01-16 13:10:00+00:00,XAUUSD,buy,1.0,20.34684255409083,0.0
2024-01-16 16:00:00+00:00,XAUUSD,sell,1.0,20.3615,0.0
2024-01-16 17:05:00+00:00,XAUUSD,buy,1.0,20.270694670490187,0.0
2024-01-16 18:25:00+00:00,XAUUSD,buy,1.0,20.26795,0.0
2024-01-16 18:50:00+00:00,XAUUSD,sell,1.0,20.24456811978614,0.0
2024-01-16 19:45:00+00:00,XAUUSD,buy,1.0,20.28745,0.0
2024-01-17 01:45:00+00:00,XAUUSD,sell,1.0,20.2971,0.0
2024-01-17 02:30:00+00:00,XAUUSD,sell,1.0,20.2863,0.0
2024-01-17 05:20:00+00:00,XAUUSD,buy,1.0,20.19443927357651,0.0
2024-01-18 07:20:00+00:00,XAUUSD,sell,1.0,20.1165,0.0
2024-01-18 12:05:00+00:00,XAUUSD,buy,1.0,20.143996334132076,0.0
2024-01-19 06:20:00+00:00,XAUUSD,buy,1.0,20.225415,0.0
2024-01-19 07:20:00+00:00,XAUUSD,sell,1.0,20.26117887351535,0.0
2024-01-19 08:45:00+00:00,XAUUSD,buy,1.0,20.2861,0.0
2024-01-19 12:00:00+00:00,XAUUSD,sell,1.0,20.336922156648843,0.0
2024-01-19 19:00:00+00:00,XAUUSD,buy,1.0,20.2842,0.0
2024-01-22 00:25:00+00:00,XAUUSD,sell,1.0,20.26696446977624,0.0
