entry_idx,exit_idx,entry_ts,exit_ts,side,entry,stop,target,exit_price,exit_reason,gross_ret,net_ret,risk_pct,r_multiple
189,261,2024-01-02 13:45:00+00:00,2024-01-02 19:45:00+00:00,short,1.263255,1.2649029877797173,1.2599590244405654,1.2621,time,0.0009143047128251647,0.0008143047128251646,0.0013045567044795453,0.6242003198518169
263,267,2024-01-02 19:55:00+00:00,2024-01-02 20:15:00+00:00,short,1.262025,1.2626535769210312,1.2607678461579375,1.2626535769210312,stop,-0.0004980701024395184,-0.0005980701024395185,0.0004980701024395262,-1.2007749477622156
272,316,2024-01-02 20:40:00+00:00,2024-01-03 00:20:00+00:00,short,1.262035,1.2627214271405527,1.2606621457188947,1.2627214271405527,stop,-0.0005439049951487807,-0.0006439049951487807,0.000543904995148843,-1.1838556360173094
327,354,2024-01-03 01:15:00+00:00,2024-01-03 03:30:00+00:00,short,1.2628400000000002,1.263408740149006,1.2617025197019887,1.263408740149006,stop,-0.00045036596006275964,-0.0005503659600627597,0.0004503659600628457,-1.2220416453408645
369,383,2024-01-03 04:45:00+00:00,2024-01-03 05:55:00+00:00,short,1.263855,1.264204525304223,1.263155949391554,1.263155949391554,target,0.0005531098175390881,0.00045310981753908806,0.0002765549087695517,1.6384081480117507
398,410,2024-01-03 07:10:00+00:00,2024-01-03 08:10:00+00:00,short,1.26318,1.2647086304230821,1.2601227391538357,1.2647086304230821,stop,-0.0012101445740766437,-0.0013101445740766437,0.0012101445740766604,-1.0826347537802652
430,460,2024-01-03 09:50:00+00:00,2024-01-03 12:20:00+00:00,short,1.262815,1.2638352667803008,1.2607744664393985,1.2638352667803008,stop,-0.0008079305205439535,-0.0009079305205439536,0.0008079305205439913,-1.123773018017512
463,475,2024-01-03 12:35:00+00:00,2024-01-03 13:35:00+00:00,short,1.26214,1.2643058944264198,1.2578082111471605,1.2643058944264198,stop,-0.001716049270619635,-0.0018160492706196351,0.0017160492706195746,-1.0582733844848653
482,489,2024-01-03 14:10:00+00:00,2024-01-03 14:45:00+00:00,short,1.262025,1.2632512475370774,1.259572504925845,1.2632512475370774,stop,-0.0009716507494521576,-0.0010716507494521576,0.000971650749452231,-1.1029176367675155
573,579,2024-01-03 21:45:00+00:00,2024-01-03 22:15:00+00:00,short,1.26629,1.2669085566450726,1.2650528867098545,1.2669085566450726,stop,-0.0004884794518418278,-0.0005884794518418279,0.0004884794518417659,-1.2047168993870765
