entry_ts,exit_ts,side,entry,stop,exit_price,exit_reason,p_long,p_short,p_big,gross_ret,net_ret,week_start
2024-01-17 07:20:00+00:00,2024-01-17 08:00:00+00:00,long,20.196335,20.17214258258046,20.262602569513234,target,0.9887839555740356,0.001448507304303348,0.9887839555740356,0.003281168069020124,0.003081168069020124,2024-01-15 00:00:00+00:00
2024-01-17 09:40:00+00:00,2024-01-17 12:40:00+00:00,long,20.222535,20.199190118967536,20.28025,time,0.9817746877670288,0.005379460286349058,0.9817746877670288,0.002853994318714248,0.002653994318714248,2024-01-15 00:00:00+00:00
2024-01-17 17:25:00+00:00,2024-01-17 20:25:00+00:00,long,20.0389,20.003165185107633,20.052100000000003,time,0.9811832904815674,0.00047217184328474104,0.9811832904815674,0.0006587187919497861,0.0004587187919497861,2024-01-15 00:00:00+00:00
2024-01-19 12:50:00+00:00,2024-01-19 14:30:00+00:00,long,20.3315,20.307787588798185,20.307787588798185,stop,0.9531146287918091,0.011577261611819267,0.9531146287918091,-0.0011662893146995312,-0.0013662893146995313,2024-01-15 00:00:00+00:00
2024-01-24 14:40:00+00:00,2024-01-24 15:50:00+00:00,short,20.29765,20.34620211882683,20.153624256220056,target,0.009410125203430653,0.8895255923271179,0.8895255923271179,0.007095685647350525,0.006895685647350525,2024-01-22 00:00:00+00:00
2024-01-25 13:55:00+00:00,2024-01-25 16:55:00+00:00,short,20.19455,20.256111937463658,20.14615,time,0.0254600178450346,0.7683554291725159,0.7683554291725159,0.002396686234652501,0.0021966862346525008,2024-01-22 00:00:00+00:00
2024-02-01 14:15:00+00:00,2024-02-01 14:30:00+00:00,short,20.45405,20.488685921059542,20.488685921059542,stop,1.7357476735924138e-06,0.9997369647026062,0.9997369647026062,-0.0016933527130100767,-0.0018933527130100768,2024-01-29 00:00:00+00:00
2024-02-01 15:20:00+00:00,2024-02-01 16:00:00+00:00,short,20.4901,20.536054647126477,20.536054647126477,stop,1.745007239151164e-06,0.999728262424469,0.999728262424469,-0.0022427731990803945,-0.0024427731990803946,2024-01-29 00:00:00+00:00
2024-02-02 16:50:00+00:00,2024-02-02 19:50:00+00:00,short,20.3668,20.39277944026074,20.3862,time,6.578113971045241e-05,0.9965096116065979,0.9965096116065979,-0.0009525305889976909,-0.001152530588997691,2024-01-29 00:00:00+00:00
2024-02-02 21:05:00+00:00,2024-02-02 21:55:00+00:00,long,20.36615,20.35386605500007,20.39865,time,0.8216934204101562,0.08841560035943985,0.8216934204101562,0.0015957851631260844,0.0013957851631260843,2024-01-29 00:00:00+00:00
