pair,n_trades,total_return,sharpe,max_drawdown,win_rate,avg_trade,avg_r_multiple
GBPUSD,912,-0.06646564500822039,-2.0890414038099885,-0.08038011792572414,0.3706140350877193,-7.482714139873444e-05,-0.19631182517948276
XAUUSD,878,-0.08823478297308485,-1.1292499673952259,-0.09919186149598515,0.3826879271070615,-0.0001016549146376698,-0.09213323234315837
EURUSD,974,-0.10435703753597336,-3.848749695189269,-0.1115909217976448,0.3593429158110883,-0.00011273180738970456,-0.25775572204603764
