ts,open,high,low,close,volume,footprint_raw
2024-01-01 22:00:00+00:00,1.272575,1.27271,1.27253,1.2727050000000002,31.199999809265137,16.600000023841858
2024-01-01 22:05:00+00:00,1.2726950000000001,1.27276,1.2726950000000001,1.27271,46.19999980926514,-5.600000023841858
2024-01-01 22:10:00+00:00,1.27271,1.272785,1.27271,1.272785,12.099999904632568,2.899999976158142
2024-01-01 22:15:00+00:00,1.272705,1.272775,1.272705,1.272745,20.979999899864197,4.399999976158142
2024-01-01 22:20:00+00:00,1.27272,1.27305,1.2725300000000002,1.27275,398.35999554395676,51.79000037908554
2024-01-01 22:25:00+00:00,1.27283,1.27291,1.2727149999999998,1.272795,358.1999988555908,73.79999947547913
2024-01-01 22:30:00+00:00,1.27279,1.2729050000000002,1.272325,1.2724950000000002,298.40999788045883,29.710000932216644
2024-01-01 22:35:00+00:00,1.27249,1.2729949999999999,1.27193,1.27299,231.3599989414215,26.110000371932983
2024-01-01 22:40:00+00:00,1.27299,1.2730700000000001,1.27297,1.2730700000000001,114.5699999332428,-13.5
2024-01-01 22:45:00+00:00,1.27308,1.27311,1.273065,1.2731,119.51999998092651,15.65999960899353
2024-01-01 22:50:00+00:00,1.2731050000000002,1.273155,1.27309,1.273145,88.28999996185303,20.1599999666214
2024-01-01 22:55:00+00:00,1.273135,1.273135,1.2729249999999999,1.27295,353.20000022649765,-5.689999878406525
2024-01-01 23:00:00+00:00,1.272955,1.27328,1.27283,1.2732700000000001,755.5200008153915,37.6299991607666
2024-01-01 23:05:00+00:00,1.27328,1.2735400000000001,1.273275,1.273425,383.4300011098385,16.93999955058098
2024-01-01 23:10:00+00:00,1.2734299999999998,1.273445,1.2731400000000002,1.273265,543.0599937140942,-59.46000066399574
2024-01-01 23:15:00+00:00,1.27326,1.273265,1.272775,1.272785,355.19999604672194,-96.17999999970198
2024-01-01 23:20:00+00:00,1.2728199999999998,1.27291,1.272675,1.272735,608.5199953317642,34.44000041484833
2024-01-01 23:25:00+00:00,1.2727300000000001,1.273165,1.272705,1.273095,502.83999866247177,123.06000012159348
2024-01-01 23:30:00+00:00,1.2731050000000002,1.273165,1.2729050000000002,1.272915,726.5299943014979,107.77000028640032
2024-01-01 23:35:00+00:00,1.27294,1.2730199999999998,1.2728899999999999,1.27291,542.1899928897619,75.51000118255615
2024-01-01 23:40:00+00:00,1.2729,1.27297,1.272735,1.272735,307.09999537467957,-7.219999551773071
2024-01-01 23:45:00+00:00,1.2727149999999998,1.2729249999999999,1.27264,1.272805,582.1199930906296,72.01999998092651
2024-01-01 23:50:00+00:00,1.272815,1.27288,1.272775,1.27281,653.5899910330772,78.9400002360344
2024-01-01 23:55:00+00:00,1.27282,1.272865,1.2727249999999999,1.2728000000000002,453.3599964901805,71.33999950438738
2024-01-02 00:00:00+00:00,1.272805,1.2729949999999999,1.2727,1.27299,717.00999173522,98.86999915540218
2024-01-02 00:05:00+00:00,1.2729650000000001,1.27299,1.272705,1.2728350000000002,317.5499954596162,57.80999980121851
2024-01-02 00:10:00+00:00,1.27285,1.27297,1.27276,1.272775,400.6499918848276,-6.7100012600421906
2024-01-02 00:15:00+00:00,1.27277,1.27297,1.27276,1.27276,321.7099945396185,-35.530000910162926
2024-01-02 00:20:00+00:00,1.272745,1.272745,1.2723,1.27245,382.4599938765168,-95.33999925106764
2024-01-02 00:25:00+00:00,1.2724700000000002,1.2724700000000002,1.27218,1.27234,297.939994931221,-59.37999904155731
2024-01-02 00:30:00+00:00,1.27233,1.272455,1.2722600000000002,1.272305,326.92999374866486,-57.730000138282776
2024-01-02 00:35:00+00:00,1.2723,1.2723900000000001,1.27223,1.272265,465.2299892902374,-81.14999771118164
2024-01-02 00:40:00+00:00,1.2722699999999998,1.27236,1.272195,1.27225,428.6199920102954,17.839999817311764
2024-01-02 00:45:00+00:00,1.272255,1.27258,1.272215,1.2725,348.54999373853207,15.570000037550926
2024-01-02 00:50:00+00:00,1.272505,1.272685,1.27249,1.2725849999999999,220.1999960169196,4.5600007101893425
2024-01-02 00:55:00+00:00,1.27257,1.272685,1.2724700000000002,1.272555,306.9799957200885,32.08000025898218
2024-01-02 01:00:00+00:00,1.27254,1.2728899999999999,1.272415,1.2728350000000002,1692.4799739569426,-216.97000646591187
2024-01-02 01:05:00+00:00,1.2728000000000002,1.27336,1.27265,1.2726700000000002,1054.1299821212888,-178.34000004827976
2024-01-02 01:10:00+00:00,1.272675,1.272795,1.2724700000000002,1.27258,601.1699895337224,-92.45999870449305
2024-01-02 01:15:00+00:00,1.27263,1.27297,1.27261,1.27292,1622.189969919622,-133.43000128120184
2024-01-02 01:20:00+00:00,1.2729249999999999,1.2730299999999999,1.2726899999999999,1.272875,745.5199843272567,-52.570000387728214
2024-01-02 01:25:00+00:00,1.27286,1.272935,1.272555,1.27263,609.9399901404977,-87.60000120848417
2024-01-02 01:30:00+00:00,1.2726350000000002,1.272675,1.272305,1.2725499999999998,1662.4599812701344,29.340002454817295
2024-01-02 01:35:00+00:00,1.272545,1.2725650000000002,1.272195,1.27238,1133.759983472526,134.94000344723463
2024-01-02 01:40:00+00:00,1.2723749999999998,1.272485,1.2723200000000001,1.272485,357.11999540776014,67.80000073462725
2024-01-02 01:45:00+00:00,1.272495,1.2727,1.2724600000000001,1.27248,960.4499878510833,220.52999941259623
2024-01-02 01:50:00+00:00,1.272485,1.272555,1.27228,1.2723900000000001,719.3999915644526,108.9600011780858
2024-01-02 01:55:00+00:00,1.27238,1.2723900000000001,1.2720500000000001,1.2720799999999999,418.7399939671159,-0.08000008016824722
2024-01-02 02:00:00+00:00,1.2720850000000001,1.2725650000000002,1.2720699999999998,1.2725300000000002,1039.9199879989028,253.5000033453107
2024-01-02 02:05:00+00:00,1.272505,1.272505,1.27219,1.272405,821.5699913352728,61.98000118136406
2024-01-02 02:10:00+00:00,1.2724000000000002,1.272475,1.27222,1.272475,436.0499949455261,113.85000109672546
2024-01-02 02:15:00+00:00,1.27248,1.27248,1.2723,1.27237,600.1699925661087,128.41000294685364
2024-01-02 02:20:00+00:00,1.272375,1.2723849999999999,1.27215,1.272265,702.8499905765057,-20.879999980330467
2024-01-02 02:25:00+00:00,1.2722600000000002,1.272335,1.272135,1.272135,814.2799888849258,-194.51999723911285
2024-01-02 02:30:00+00:00,1.27214,1.272285,1.272055,1.272275,639.1699864119291,-0.6800016015768051
2024-01-02 02:35:00+00:00,1.272265,1.27228,1.2715649999999998,1.27169,1042.2099877521396,-387.29999966174364
2024-01-02 02:40:00+00:00,1.271695,1.271735,1.27127,1.2714400000000001,607.9799888581038,-30.580000713467598
2024-01-02 02:45:00+00:00,1.27143,1.2715049999999999,1.271225,1.2712750000000002,804.2099898084998,-188.43000140041113
2024-01-02 02:50:00+00:00,1.27128,1.2715100000000001,1.27114,1.27118,568.7299921438098,73.65000117570162
2024-01-02 02:55:00+00:00,1.271195,1.27136,1.27101,1.271075,1125.049987964332,-11.63000150769949
2024-01-02 03:00:00+00:00,1.27107,1.27112,1.270995,1.271105,847.3899929597974,-41.23000255972147
2024-01-02 03:05:00+00:00,1.2711000000000001,1.2715800000000002,1.27101,1.2715,1026.9599847719073,259.17000161856413
2024-01-02 03:10:00+00:00,1.2715100000000001,1.2717100000000001,1.27148,1.271575,1288.0999856591225,291.8000028729439
2024-01-02 03:15:00+00:00,1.2715800000000002,1.27169,1.2713999999999999,1.2714050000000001,1163.1799829006195,129.98000311851501
2024-01-02 03:20:00+00:00,1.27141,1.2715450000000001,1.2713700000000001,1.2715100000000001,497.13999289274216,82.89999955892563
2024-01-02 03:25:00+00:00,1.2715049999999999,1.27151,1.271305,1.27139,987.1399850845337,203.52000308036804
2024-01-02 03:30:00+00:00,1.2714400000000001,1.271595,1.2714400000000001,1.27149,478.0399943366647,80.56000053137541
2024-01-02 03:35:00+00:00,1.27148,1.271595,1.27148,1.271575,377.83999532461166,60.32000261545181
2024-01-02 03:40:00+00:00,1.2715649999999998,1.271595,1.2715049999999999,1.271585,250.4599962681532,-2.460000619292259
2024-01-02 03:45:00+00:00,1.271595,1.271995,1.271595,1.271865,221.54999642074108,14.189998924732208
2024-01-02 03:50:00+00:00,1.27186,1.271875,1.2714599999999998,1.2714699999999999,264.5799969136715,-160.37999929487705
2024-01-02 03:55:00+00:00,1.271465,1.271895,1.271335,1.27187,432.169995687902,81.8699986487627
2024-01-02 04:00:00+00:00,1.27186,1.27192,1.27157,1.27159,374.2399935051799,-46.199999533593655
2024-01-02 04:05:00+00:00,1.271595,1.2715999999999998,1.27148,1.271565,238.88999584317207,-44.98999971151352
2024-01-02 04:10:00+00:00,1.27157,1.271695,1.2715049999999999,1.271585,439.61999379098415,41.640000239014626
2024-01-02 04:15:00+00:00,1.2716150000000002,1.2716150000000002,1.271325,1.27142,981.4499896168709,330.7300040125847
2024-01-02 04:20:00+00:00,1.271425,1.27161,1.271395,1.27142,326.219994828105,80.03999991714954
2024-01-02 04:25:00+00:00,1.271375,1.271495,1.271325,1.2713299999999998,543.0199954435229,139.18000269681215
2024-01-02 04:30:00+00:00,1.27134,1.271535,1.27134,1.27142,554.9699950739741,86.07000165432692
2024-01-02 04:35:00+00:00,1.271425,1.2716349999999998,1.27142,1.2715999999999998,840.5499939769506,220.81000208854675
2024-01-02 04:40:00+00:00,1.271595,1.27162,1.271305,1.271315,838.099994264543,198.78000243753195
2024-01-02 04:45:00+00:00,1.27131,1.2713299999999998,1.271175,1.27121,444.14999556541443,79.65000283718109
2024-01-02 04:50:00+00:00,1.2712050000000001,1.2713100000000002,1.2711299999999999,1.271145,415.0999987125397,73.78000354766846
2024-01-02 04:55:00+00:00,1.27115,1.271455,1.27114,1.27145,697.1199920773506,248.01999932527542
2024-01-02 05:00:00+00:00,1.2714400000000001,1.271935,1.271435,1.27186,743.4799913689494,324.3199995085597
2024-01-02 05:05:00+00:00,1.271855,1.27189,1.2716,1.271765,590.3399929404259,144.9600015282631
2024-01-02 05:10:00+00:00,1.27177,1.27211,1.2717,1.2721,1045.6299902796745,139.0899994969368
2024-01-02 05:15:00+00:00,1.2721049999999998,1.272285,1.27206,1.272205,847.6099912598729,209.7500016465783
2024-01-02 05:20:00+00:00,1.27221,1.27249,1.2721200000000001,1.2724449999999998,858.8099902570248,190.89000184834003
2024-01-02 05:25:00+00:00,1.27245,1.27251,1.2724,1.27241,219.0899966210127,-25.569999992847443
2024-01-02 05:30:00+00:00,1.272405,1.272535,1.27238,1.272455,642.9499888569117,-122.14999927580357
2024-01-02 05:35:00+00:00,1.2724600000000001,1.27272,1.27244,1.2726899999999999,551.47999304533,72.62000077962875
2024-01-02 05:40:00+00:00,1.27268,1.273045,1.27268,1.2730000000000001,727.649995803833,184.95000207424164
2024-01-02 05:45:00+00:00,1.273005,1.27367,1.27295,1.2734450000000002,1103.0099893137813,212.7900028899312
2024-01-02 05:50:00+00:00,1.27344,1.274135,1.27342,1.274035,1253.789983741939,248.6100027486682
2024-01-02 05:55:00+00:00,1.2740399999999998,1.274045,1.27352,1.273725,1054.9699847102165,-28.049995243549347
2024-01-02 06:00:00+00:00,1.27373,1.273745,1.27319,1.273275,753.3199844062328,-138.49999877810478
2024-01-02 06:05:00+00:00,1.273285,1.27342,1.27328,1.273415,484.98998951911926,-5.34000027179718
2024-01-02 06:10:00+00:00,1.2734100000000002,1.27351,1.27332,1.273415,681.2099869251251,-101.6300003528595
2024-01-02 06:15:00+00:00,1.27341,1.273425,1.2731949999999999,1.273295,578.1099880933762,-55.97000014781952
2024-01-02 06:20:00+00:00,1.273285,1.2733949999999998,1.2731949999999999,1.27331,584.9699886962771,-62.790000073611736
2024-01-02 06:25:00+00:00,1.27332,1.27342,1.2731599999999998,1.273415,548.3099907636642,-26.310001492500305
2024-01-02 06:30:00+00:00,1.27342,1.27351,1.2733249999999998,1.2734,647.4699908420444,-21.969999067485332
2024-01-02 06:35:00+00:00,1.273405,1.273495,1.2732999999999999,1.2734649999999998,573.0999910831451,-49.11999952793121
2024-01-02 06:40:00+00:00,1.27347,1.27367,1.273295,1.27339,585.6999891921878,-36.630001194775105
2024-01-02 06:45:00+00:00,1.2733949999999998,1.2736299999999998,1.27319,1.273595,450.5299913585186,3.4299996495246887
